Time,Camera,State
59:54.7,79.62,0
59:54.8,80,0
59:54.9,80.088,0
59:54.9,79.779,2
59:55.0,79.751,1
59:55.1,80.091,3
59:55.1,80.321,0
59:55.2,80.516,0
59:55.3,80.703,0
59:55.3,80.822,0
59:55.4,78.586,2
59:55.5,78.789,3
59:55.5,78.829,0
59:55.6,79.039,0
59:55.7,79.087,0
59:55.7,78.915,2
59:55.8,78.552,1
59:55.9,78.112,1
59:55.9,77.726,1
59:56.0,77.353,1
59:56.1,77.008,1
59:56.1,76.884,1
59:56.2,76.716,1
59:56.2,76.583,1
59:56.3,76.556,1
59:56.4,76.504,1
59:56.4,76.382,1
59:56.5,76.265,1
59:56.6,76.289,3
59:56.6,76.29,0
59:56.7,76.337,0
59:56.8,76.359,0
59:56.8,76.381,0
59:56.9,76.43,0
59:56.9,76.499,0
59:57.0,76.497,2
59:57.1,76.477,1
59:57.1,76.459,1
59:57.2,76.459,1
59:57.3,76.473,3
59:57.3,76.476,0
59:57.4,76.326,2
59:57.5,76.303,1
59:57.5,76.409,3
59:57.6,76.496,0
59:57.7,76.507,0
59:57.7,76.563,0
59:57.8,76.691,0
59:57.8,76.747,0
59:57.9,77.352,0
59:58.0,77.676,0
59:58.0,77.891,0
59:58.1,78.08,0
59:58.2,78.286,0
59:58.2,78.345,0
59:58.3,78.279,2
59:58.4,78.329,3
59:58.4,78.552,0
59:58.5,78.701,0
59:58.5,78.741,0
59:58.6,78.777,0
59:58.7,78.858,0
59:58.7,78.944,0
59:58.8,79.04,0
59:58.9,79.144,0
59:58.9,79.196,0
59:59.0,79.317,0
59:59.1,79.21,2
59:59.1,78.98,1
59:59.2,79.064,3
59:59.3,79.163,0
59:59.3,79.246,0
59:59.4,79.269,0
59:59.4,79.28,0
59:59.5,79.332,0
59:59.6,79.416,0
59:59.6,79.496,0
59:59.7,79.606,0
59:59.8,79.654,0
59:59.8,79.757,0
59:59.9,79.732,2
00:00.0,79.39,1
00:00.0,79.392,3
00:00.1,79.48,0
00:00.2,79.531,0
00:00.2,79.543,0
00:00.3,79.552,0
00:00.3,79.617,0
00:00.4,79.692,0
00:00.5,79.771,0
00:00.5,79.833,0
00:00.6,79.915,0
00:00.7,79.949,0
00:00.7,80.028,0
00:00.8,79.938,2
00:00.9,79.532,1
00:00.9,79.473,1
00:01.0,79.469,1
00:01.1,79.457,1
00:01.1,79.417,1
00:01.2,79.359,1
00:01.2,79.364,3
00:01.3,79.395,0
00:01.4,79.45,0
00:01.4,79.506,0
00:01.5,79.596,0
00:01.6,79.663,0
00:01.6,79.775,0
00:01.7,79.821,0
00:01.8,79.457,2
00:01.8,79.433,1
00:01.9,79.487,3
00:02.0,79.521,0
00:02.0,79.541,0
00:02.1,79.521,2
00:02.1,79.566,3
00:02.2,79.607,0
00:02.3,79.645,0
00:02.3,79.696,0
00:02.4,79.711,0
00:02.5,79.748,0
00:02.5,79.77,0
00:02.6,79.816,0
00:02.7,79.67,2
00:02.8,79.309,1
00:02.9,79.347,3
00:03.0,79.338,2
00:03.0,79.292,1
00:03.1,79.287,1
00:03.2,79.297,3
00:03.2,79.318,0
00:03.3,79.337,0
00:03.3,79.371,0
00:03.4,79.407,0
00:03.5,79.463,0
00:03.5,79.446,2
00:03.6,79.159,1
00:03.7,79.157,1
00:03.7,79.215,3
00:03.8,79.3,0
00:03.9,79.316,0
00:03.9,79.292,2
00:04.0,79.325,3
00:04.1,79.397,0
00:04.1,79.463,0
00:04.3,79.551,0
00:04.4,79.641,0
00:04.4,79.698,0
00:04.5,79.346,2
00:04.6,79.387,3
00:04.7,79.428,0
00:04.7,79.458,0
00:04.8,79.444,2
00:04.9,79.458,3
00:05.0,79.497,0
00:05.0,79.539,0
00:05.1,79.576,0
00:05.2,79.616,0
00:05.2,79.672,0
00:05.3,79.735,0
00:05.4,79.718,2
00:05.4,79.344,1
00:05.5,79.237,1
00:05.6,79.289,3
