Time,Camera,State
Feb 08 10:06:06.051,82.888,0
Feb 08 10:06:06.122,81.765,2
Feb 08 10:06:06.190,82.171,3
Feb 08 10:06:06.253,82.997,0
Feb 08 10:06:06.318,83.582,0
Feb 08 10:06:06.382,84.028,0
Feb 08 10:06:06.446,84.402,0
Feb 08 10:06:06.510,84.522,0
Feb 08 10:06:06.574,84.704,0
Feb 08 10:06:06.639,84.861,0
Feb 08 10:06:06.704,85.182,0
Feb 08 10:06:06.768,80.722,2
Feb 08 10:06:06.832,81.626,3
Feb 08 10:06:06.898,81.909,0
Feb 08 10:06:06.961,82.450,0
Feb 08 10:06:07.027,82.466,0
Feb 08 10:06:07.091,82.197,2
Feb 08 10:06:07.156,81.742,1
Feb 08 10:06:07.221,81.109,1
Feb 08 10:06:07.285,80.447,1
Feb 08 10:06:07.350,79.904,1
Feb 08 10:06:07.415,79.460,1
Feb 08 10:06:07.479,79.105,1
Feb 08 10:06:07.543,78.851,1
Feb 08 10:06:07.608,78.630,1
Feb 08 10:06:07.671,78.457,1
Feb 08 10:06:07.734,78.355,1
Feb 08 10:06:07.798,78.320,1
Feb 08 10:06:07.862,78.211,1
Feb 08 10:06:07.926,78.111,1
Feb 08 10:06:07.990,78.082,1
Feb 08 10:06:08.056,78.021,1
Feb 08 10:06:08.119,77.963,1
Feb 08 10:06:08.182,78.024,3
Feb 08 10:06:08.248,77.951,2
Feb 08 10:06:08.313,77.943,1
Feb 08 10:06:08.376,78.006,3
Feb 08 10:06:08.440,77.932,2
Feb 08 10:06:08.502,77.895,1
Feb 08 10:06:08.566,77.891,1
Feb 08 10:06:08.630,77.866,1
Feb 08 10:06:08.694,77.850,1
Feb 08 10:06:08.759,78.175,3
Feb 08 10:06:08.823,78.705,0
Feb 08 10:06:08.887,78.954,0
Feb 08 10:06:08.951,79.074,0
Feb 08 10:06:09.016,79.094,0
Feb 08 10:06:09.081,79.125,0
Feb 08 10:06:09.155,79.138,0
Feb 08 10:06:09.219,79.173,0
Feb 08 10:06:09.283,79.188,0
Feb 08 10:06:09.348,79.202,0
Feb 08 10:06:09.412,79.241,0
Feb 08 10:06:09.476,79.271,0
Feb 08 10:06:09.540,79.123,2
Feb 08 10:06:09.602,79.023,1
Feb 08 10:06:09.669,79.053,3
Feb 08 10:06:09.735,79.056,0
Feb 08 10:06:09.798,79.122,0
Feb 08 10:06:09.863,79.154,0
Feb 08 10:06:09.927,79.144,2
Feb 08 10:06:09.990,79.188,3
Feb 08 10:06:10.054,79.223,0
Feb 08 10:06:10.118,79.250,0
Feb 08 10:06:10.182,79.330,0
Feb 08 10:06:10.245,79.305,2
Feb 08 10:06:10.310,79.385,3
Feb 08 10:06:10.374,79.483,0
Feb 08 10:06:10.437,79.506,0
Feb 08 10:06:10.501,79.509,0
Feb 08 10:06:10.566,79.502,2
Feb 08 10:06:10.632,79.545,3
Feb 08 10:06:10.696,79.604,0
Feb 08 10:06:10.762,79.676,0
Feb 08 10:06:10.826,79.686,0
Feb 08 10:06:10.892,79.739,0
Feb 08 10:06:10.957,79.789,0
Feb 08 10:06:11.021,79.840,0
Feb 08 10:06:11.086,79.891,0
Feb 08 10:06:11.150,79.973,0
Feb 08 10:06:11.216,80.020,0
Feb 08 10:06:11.280,80.087,0
Feb 08 10:06:11.344,80.132,0
Feb 08 10:06:11.411,80.160,0
Feb 08 10:06:11.475,80.189,0
Feb 08 10:06:11.540,80.249,0
Feb 08 10:06:11.604,80.303,0
Feb 08 10:06:11.668,80.313,0
Feb 08 10:06:11.733,80.306,2
Feb 08 10:06:11.802,80.342,3
Feb 08 10:06:11.866,80.265,2
Feb 08 10:06:11.930,80.121,1
Feb 08 10:06:11.995,80.112,1
Feb 08 10:06:12.060,80.070,1
Feb 08 10:06:12.124,80.072,3
Feb 08 10:06:12.189,80.093,0
Feb 08 10:06:12.258,80.103,0
Feb 08 10:06:12.322,80.153,0
Feb 08 10:06:12.386,80.164,0
Feb 08 10:06:12.450,80.187,0
Feb 08 10:06:12.513,80.209,0
Feb 08 10:06:12.578,80.206,2
Feb 08 10:06:12.642,80.159,1
Feb 08 10:06:12.704,80.354,3
Feb 08 10:06:12.769,80.507,0
Feb 08 10:06:12.832,80.931,0
Feb 08 10:06:12.896,81.510,0
Feb 08 10:06:12.960,81.551,0
Feb 08 10:06:13.028,81.983,0
Feb 08 10:06:13.091,82.577,0
Feb 08 10:06:13.155,82.747,0
Feb 08 10:06:13.219,83.258,0
Feb 08 10:06:13.282,84.125,0
Feb 08 10:06:13.347,84.856,0
Feb 08 10:06:13.411,85.258,0
Feb 08 10:06:13.474,85.120,2
Feb 08 10:06:13.537,85.439,3
Feb 08 10:06:13.601,85.640,0
Feb 08 10:06:13.665,85.991,0
Feb 08 10:06:13.729,86.093,0
Feb 08 10:06:13.793,86.411,0
Feb 08 10:06:13.855,86.843,0
Feb 08 10:06:13.918,87.131,0
Feb 08 10:06:13.981,86.919,2
Feb 08 10:06:14.043,87.208,3
Feb 08 10:06:14.106,87.412,0
Feb 08 10:06:14.170,87.353,2
Feb 08 10:06:14.232,87.365,3
Feb 08 10:06:14.296,87.224,2
Feb 08 10:06:14.360,87.197,1
Feb 08 10:06:14.423,87.365,3
Feb 08 10:06:14.486,87.274,2
Feb 08 10:06:14.549,87.149,1
Feb 08 10:06:14.612,87.136,1
Feb 08 10:06:14.679,87.213,3
Feb 08 10:06:14.743,87.269,0
Feb 08 10:06:14.806,86.895,2
Feb 08 10:06:14.870,86.788,1
Feb 08 10:06:14.933,86.771,1
Feb 08 10:06:14.997,86.666,1
Feb 08 10:06:15.059,86.503,1
Feb 08 10:06:15.122,86.550,3
Feb 08 10:06:15.186,86.443,2
Feb 08 10:06:15.248,86.425,1
Feb 08 10:06:15.313,86.332,1
Feb 08 10:06:15.382,86.222,1
Feb 08 10:06:15.446,86.254,3
Feb 08 10:06:15.508,86.401,0
Feb 08 10:06:15.570,86.341,2
Feb 08 10:06:15.634,86.353,3
Feb 08 10:06:15.698,86.395,0
Feb 08 10:06:15.762,86.460,0
Feb 08 10:06:15.826,86.484,0
Feb 08 10:06:15.889,86.512,0
Feb 08 10:06:15.952,86.683,0
