Time,Camera,State
Feb 08 04:29:33.998,78.624,2
Feb 08 04:29:34.067,79.322,3
Feb 08 04:29:34.133,80.006,0
Feb 08 04:29:34.196,80.498,0
Feb 08 04:29:34.260,80.894,0
Feb 08 04:29:34.323,81.111,0
Feb 08 04:29:34.387,81.303,0
Feb 08 04:29:34.450,81.391,0
Feb 08 04:29:34.512,81.576,0
Feb 08 04:29:34.575,81.569,2
Feb 08 04:29:34.637,81.580,3
Feb 08 04:29:34.701,81.576,2
Feb 08 04:29:34.767,81.601,3
Feb 08 04:29:34.832,81.811,0
Feb 08 04:29:34.895,81.812,0
Feb 08 04:29:34.958,81.813,0
Feb 08 04:29:35.020,81.814,0
Feb 08 04:29:35.083,81.862,0
Feb 08 04:29:35.148,81.905,0
Feb 08 04:29:35.211,81.956,0
Feb 08 04:29:35.277,82.004,0
Feb 08 04:29:35.339,82.024,0
Feb 08 04:29:35.403,82.040,0
Feb 08 04:29:35.467,82.070,0
Feb 08 04:29:35.530,82.093,0
Feb 08 04:29:35.594,82.109,0
Feb 08 04:29:35.657,82.098,2
Feb 08 04:29:35.720,82.101,3
Feb 08 04:29:35.783,82.097,2
Feb 08 04:29:35.846,82.110,3
Feb 08 04:29:35.908,82.136,0
Feb 08 04:29:35.971,82.135,2
Feb 08 04:29:36.034,82.138,3
Feb 08 04:29:36.097,82.158,0
Feb 08 04:29:36.161,82.197,0
Feb 08 04:29:36.223,82.224,0
Feb 08 04:29:36.286,82.246,0
Feb 08 04:29:36.350,82.256,0
Feb 08 04:29:36.412,82.288,0
Feb 08 04:29:36.474,82.321,0
Feb 08 04:29:36.537,82.352,0
Feb 08 04:29:36.599,82.454,0
Feb 08 04:29:36.664,82.566,0
Feb 08 04:29:36.726,82.623,0
Feb 08 04:29:36.789,82.670,0
Feb 08 04:29:36.851,82.675,0
Feb 08 04:29:36.914,82.696,0
Feb 08 04:29:36.979,82.677,2
Feb 08 04:29:37.041,82.659,1
Feb 08 04:29:37.114,82.662,3
Feb 08 04:29:37.178,82.708,0
Feb 08 04:29:37.239,82.780,0
Feb 08 04:29:37.302,82.770,2
Feb 08 04:29:37.367,82.734,1
Feb 08 04:29:37.429,82.758,3
Feb 08 04:29:37.494,82.733,2
Feb 08 04:29:37.556,82.723,1
Feb 08 04:29:37.620,82.735,3
Feb 08 04:29:37.683,82.911,0
Feb 08 04:29:37.746,82.854,2
Feb 08 04:29:37.809,82.939,3
Feb 08 04:29:37.871,82.904,2
Feb 08 04:29:37.934,82.899,1
Feb 08 04:29:37.997,82.865,1
Feb 08 04:29:38.060,82.869,3
Feb 08 04:29:38.122,82.881,0
Feb 08 04:29:38.185,82.932,0
Feb 08 04:29:38.248,82.959,0
Feb 08 04:29:38.313,82.970,0
Feb 08 04:29:38.376,83.006,0
Feb 08 04:29:38.439,83.027,0
Feb 08 04:29:38.503,83.016,2
