Time,Camera,State
Feb 09 10:09:15.532,78.000,2
Feb 09 10:09:15.604,78.001,3
Feb 09 10:09:15.671,78.057,0
Feb 09 10:09:15.737,77.654,2
Feb 09 10:09:15.802,77.868,3
Feb 09 10:09:15.864,78.414,0
Feb 09 10:09:15.927,78.778,0
Feb 09 10:09:15.990,78.942,0
Feb 09 10:09:16.052,79.180,0
Feb 09 10:09:16.115,79.374,0
Feb 09 10:09:16.177,79.515,0
Feb 09 10:09:16.242,79.493,2
Feb 09 10:09:16.304,79.442,1
Feb 09 10:09:16.366,79.464,3
Feb 09 10:09:16.428,79.503,0
Feb 09 10:09:16.493,79.491,2
Feb 09 10:09:16.555,79.484,1
Feb 09 10:09:16.617,79.474,1
Feb 09 10:09:16.681,79.463,1
Feb 09 10:09:16.744,79.541,3
Feb 09 10:09:16.807,79.659,0
Feb 09 10:09:16.869,79.650,2
Feb 09 10:09:16.931,79.632,1
Feb 09 10:09:16.994,79.626,1
Feb 09 10:09:17.057,79.621,1
Feb 09 10:09:17.118,79.613,1
Feb 09 10:09:17.181,79.687,3
Feb 09 10:09:17.244,79.720,0
Feb 09 10:09:17.306,79.726,0
Feb 09 10:09:17.369,79.733,0
Feb 09 10:09:17.430,79.750,0
Feb 09 10:09:17.493,79.753,0
Feb 09 10:09:17.556,79.785,0
Feb 09 10:09:17.618,79.816,0
Feb 09 10:09:17.681,79.846,0
Feb 09 10:09:17.744,79.856,0
Feb 09 10:09:17.806,79.866,0
Feb 09 10:09:17.867,79.873,0
Feb 09 10:09:17.929,79.887,0
Feb 09 10:09:17.993,79.902,0
Feb 09 10:09:18.055,79.926,0
Feb 09 10:09:18.117,79.963,0
Feb 09 10:09:18.178,79.993,0
Feb 09 10:09:18.242,80.023,0
Feb 09 10:09:18.304,80.044,0
Feb 09 10:09:18.366,80.060,0
Feb 09 10:09:18.428,80.075,0
Feb 09 10:09:18.490,80.079,0
Feb 09 10:09:18.553,80.110,0
Feb 09 10:09:18.621,80.122,0
Feb 09 10:09:18.683,80.132,0
Feb 09 10:09:18.746,80.154,0
Feb 09 10:09:18.808,80.156,0
Feb 09 10:09:18.869,80.157,0
Feb 09 10:09:18.931,80.167,0
Feb 09 10:09:18.993,80.170,0
Feb 09 10:09:19.055,80.177,0
Feb 09 10:09:19.117,80.264,0
Feb 09 10:09:19.179,80.319,0
Feb 09 10:09:19.242,75.363,2
Feb 09 10:09:19.305,76.662,3
Feb 09 10:09:19.366,76.974,0
Feb 09 10:09:19.428,76.648,2
Feb 09 10:09:19.491,76.476,1
Feb 09 10:09:19.555,75.895,1
Feb 09 10:09:19.619,74.906,1
Feb 09 10:09:19.683,74.245,1
Feb 09 10:09:19.746,73.709,1
