Time,Camera,State
Feb 13 12:10:05.408,78.438,0
Feb 13 12:10:05.475,78.907,0
Feb 13 12:10:05.543,78.738,2
Feb 13 12:10:05.610,78.006,1
Feb 13 12:10:05.676,78.826,3
Feb 13 12:10:05.742,79.424,0
Feb 13 12:10:05.803,79.742,0
Feb 13 12:10:05.866,79.863,0
Feb 13 12:10:05.929,80.135,0
Feb 13 12:10:05.992,80.376,0
Feb 13 12:10:06.055,80.537,0
Feb 13 12:10:06.117,78.589,2
Feb 13 12:10:06.183,78.473,1
Feb 13 12:10:06.248,78.446,1
Feb 13 12:10:06.310,78.363,1
Feb 13 12:10:06.372,78.233,1
Feb 13 12:10:06.433,78.087,1
Feb 13 12:10:06.497,77.711,1
Feb 13 12:10:06.560,77.317,1
Feb 13 12:10:06.622,77.015,1
Feb 13 12:10:06.686,76.836,1
Feb 13 12:10:06.748,76.770,1
Feb 13 12:10:06.816,76.788,3
Feb 13 12:10:06.879,76.118,2
Feb 13 12:10:06.940,75.486,1
Feb 13 12:10:07.003,75.236,1
Feb 13 12:10:07.065,74.804,1
Feb 13 12:10:07.128,74.410,1
Feb 13 12:10:07.191,74.002,1
Feb 13 12:10:07.253,73.851,1
Feb 13 12:10:07.320,73.834,1
Feb 13 12:10:07.383,73.958,3
Feb 13 12:10:07.446,74.194,0
Feb 13 12:10:07.509,74.500,0
Feb 13 12:10:07.571,74.670,0
Feb 13 12:10:07.633,74.530,2
Feb 13 12:10:07.696,74.041,1
Feb 13 12:10:07.759,73.792,1
Feb 13 12:10:07.821,73.684,1
Feb 13 12:10:07.884,73.716,3
Feb 13 12:10:07.946,73.719,0
Feb 13 12:10:08.011,73.678,2
Feb 13 12:10:08.073,73.459,1
Feb 13 12:10:08.135,73.224,1
Feb 13 12:10:08.199,72.781,1
Feb 13 12:10:08.262,72.371,1
Feb 13 12:10:08.325,72.055,1
Feb 13 12:10:08.389,71.543,1
Feb 13 12:10:08.451,71.585,3
Feb 13 12:10:08.524,72.756,0
Feb 13 12:10:08.588,73.897,0
Feb 13 12:10:08.651,74.104,0
Feb 13 12:10:08.714,74.229,0
Feb 13 12:10:08.778,74.436,0
Feb 13 12:10:08.840,74.654,0
Feb 13 12:10:08.903,74.614,2
Feb 13 12:10:08.965,75.036,3
Feb 13 12:10:09.029,75.204,0
Feb 13 12:10:09.092,74.920,2
Feb 13 12:10:09.154,75.168,3
Feb 13 12:10:09.218,76.015,0
Feb 13 12:10:09.281,78.174,0
Feb 13 12:10:09.344,80.773,0
Feb 13 12:10:09.408,84.007,0
Feb 13 12:10:09.470,85.550,0
Feb 13 12:10:09.532,85.234,2
Feb 13 12:10:09.597,84.698,1
Feb 13 12:10:09.660,82.260,1
Feb 13 12:10:09.722,79.850,1
Feb 13 12:10:09.788,79.070,1
Feb 13 12:10:09.850,78.788,1
Feb 13 12:10:09.914,78.762,1
Feb 13 12:10:09.978,78.141,1
Feb 13 12:10:10.040,78.147,3
Feb 13 12:10:10.102,78.505,0
Feb 13 12:10:10.167,78.460,2
Feb 13 12:10:10.230,78.070,1
Feb 13 12:10:10.293,77.902,1
Feb 13 12:10:10.355,76.195,1
Feb 13 12:10:10.418,75.587,1
Feb 13 12:10:10.481,76.177,3
Feb 13 12:10:10.544,76.799,0
Feb 13 12:10:10.606,77.393,0
Feb 13 12:10:10.670,77.824,0
Feb 13 12:10:10.732,79.039,0
Feb 13 12:10:10.794,80.146,0
Feb 13 12:10:10.856,80.843,0
Feb 13 12:10:10.918,81.390,0
Feb 13 12:10:10.980,81.956,0
Feb 13 12:10:11.042,82.054,0
Feb 13 12:10:11.104,80.767,2
Feb 13 12:10:11.167,78.379,1
Feb 13 12:10:11.231,78.163,1
Feb 13 12:10:11.293,78.434,3
Feb 13 12:10:11.355,79.001,0
Feb 13 12:10:11.417,79.563,0
Feb 13 12:10:11.479,80.634,0
Feb 13 12:10:11.541,82.093,0
Feb 13 12:10:11.608,83.306,0
Feb 13 12:10:11.670,83.747,0
Feb 13 12:10:11.732,84.567,0
Feb 13 12:10:11.802,85.010,0
Feb 13 12:10:11.890,84.507,2
Feb 13 12:10:11.985,81.553,1
Feb 13 12:10:12.061,82.246,3
Feb 13 12:10:12.124,83.803,0
Feb 13 12:10:12.187,84.743,0
Feb 13 12:10:12.251,85.496,0
Feb 13 12:10:12.313,86.012,0
Feb 13 12:10:12.375,86.187,0
Feb 13 12:10:12.439,86.276,0
Feb 13 12:10:12.503,86.827,0
Feb 13 12:10:12.566,87.425,0
Feb 13 12:10:12.629,86.380,2
Feb 13 12:10:12.692,83.788,1
Feb 13 12:10:12.755,81.632,1
Feb 13 12:10:12.817,81.818,3
Feb 13 12:10:12.880,82.857,0
Feb 13 12:10:12.942,83.205,0
Feb 13 12:10:13.004,83.516,0
Feb 13 12:10:13.067,83.960,0
Feb 13 12:10:13.129,84.214,0
Feb 13 12:10:13.192,84.517,0
Feb 13 12:10:13.254,84.480,2
Feb 13 12:10:13.317,84.483,3
Feb 13 12:10:13.381,84.641,0
Feb 13 12:10:13.442,84.595,2
Feb 13 12:10:13.505,84.460,1
Feb 13 12:10:13.568,84.629,3
Feb 13 12:10:13.631,84.730,0
Feb 13 12:10:13.695,84.815,0
Feb 13 12:10:13.759,84.818,0
Feb 13 12:10:13.821,84.858,0
Feb 13 12:10:13.884,84.965,0
Feb 13 12:10:13.948,84.959,2
Feb 13 12:10:14.011,84.935,1
Feb 13 12:10:14.073,85.010,3
Feb 13 12:10:14.135,84.987,2
Feb 13 12:10:14.199,85.251,3
Feb 13 12:10:14.263,85.555,0
Feb 13 12:10:14.326,86.000,0
Feb 13 12:10:14.390,86.032,0
Feb 13 12:10:14.452,85.980,2
Feb 13 12:10:14.515,86.083,3
Feb 13 12:10:14.579,86.156,0
Feb 13 12:10:14.641,86.246,0
Feb 13 12:10:14.714,86.493,0
Feb 13 12:10:14.777,86.646,0
Feb 13 12:10:14.841,86.643,2
Feb 13 12:10:14.905,86.382,1
