Time,Camera,State
Feb 22 07:49:13.704,74.970,3
Feb 22 07:49:13.770,76.778,0
Feb 22 07:49:13.835,77.640,0
Feb 22 07:49:13.900,77.937,0
Feb 22 07:49:13.964,77.881,2
Feb 22 07:49:14.028,78.369,3
Feb 22 07:49:14.098,78.377,0
Feb 22 07:49:14.162,78.441,0
Feb 22 07:49:14.227,78.627,0
Feb 22 07:49:14.291,78.720,0
Feb 22 07:49:14.357,79.078,0
Feb 22 07:49:14.422,80.007,0
Feb 22 07:49:14.488,79.462,2
Feb 22 07:49:14.555,78.714,1
Feb 22 07:49:14.619,77.917,1
Feb 22 07:49:14.685,77.102,1
Feb 22 07:49:14.749,76.563,1
Feb 22 07:49:14.812,75.976,1
Feb 22 07:49:14.877,75.271,1
Feb 22 07:49:14.951,74.270,1
Feb 22 07:49:15.017,74.883,3
Feb 22 07:49:15.082,75.269,0
Feb 22 07:49:15.146,75.504,0
Feb 22 07:49:15.210,75.489,2
Feb 22 07:49:15.276,75.485,1
Feb 22 07:49:15.341,75.811,3
Feb 22 07:49:15.406,76.306,0
Feb 22 07:49:15.471,76.759,0
Feb 22 07:49:15.538,77.033,0
Feb 22 07:49:15.603,77.296,0
Feb 22 07:49:15.669,77.610,0
Feb 22 07:49:15.734,77.730,0
Feb 22 07:49:15.797,76.201,2
Feb 22 07:49:15.862,75.807,1
Feb 22 07:49:15.926,76.371,3
Feb 22 07:49:15.992,76.821,0
Feb 22 07:49:16.056,77.002,0
Feb 22 07:49:16.120,76.780,2
Feb 22 07:49:16.186,76.829,3
Feb 22 07:49:16.251,77.299,0
Feb 22 07:49:16.314,77.878,0
Feb 22 07:49:16.378,78.100,0
Feb 22 07:49:16.443,78.387,0
Feb 22 07:49:16.508,78.571,0
Feb 22 07:49:16.573,78.841,0
Feb 22 07:49:16.638,78.383,2
Feb 22 07:49:16.703,76.468,1
Feb 22 07:49:16.766,76.477,3
Feb 22 07:49:16.837,77.252,0
Feb 22 07:49:16.903,77.955,0
Feb 22 07:49:16.970,77.704,2
Feb 22 07:49:17.033,77.168,1
Feb 22 07:49:17.097,77.310,3
Feb 22 07:49:17.161,77.846,0
Feb 22 07:49:17.226,78.316,0
Feb 22 07:49:17.290,78.537,0
Feb 22 07:49:17.354,78.683,0
Feb 22 07:49:17.418,78.492,2
Feb 22 07:49:17.480,76.122,1
Feb 22 07:49:17.544,75.625,1
Feb 22 07:49:17.608,75.791,3
Feb 22 07:49:17.673,76.254,0
Feb 22 07:49:17.738,76.626,0
Feb 22 07:49:17.803,76.252,2
Feb 22 07:49:17.866,75.753,1
Feb 22 07:49:17.931,75.931,3
