Time,Camera,State
Feb 22 08:10:19.976,86.823,0
Feb 22 08:10:20.045,87.616,0
Feb 22 08:10:20.126,87.229,2
Feb 22 08:10:20.190,85.278,1
Feb 22 08:10:20.255,83.419,1
Feb 22 08:10:20.320,81.059,1
Feb 22 08:10:20.390,79.498,1
Feb 22 08:10:20.454,78.391,1
Feb 22 08:10:20.520,76.608,1
Feb 22 08:10:20.585,75.212,1
Feb 22 08:10:20.650,73.939,1
Feb 22 08:10:20.715,74.169,3
Feb 22 08:10:20.780,73.917,2
Feb 22 08:10:20.845,73.544,1
Feb 22 08:10:20.913,73.161,1
Feb 22 08:10:20.977,73.229,3
Feb 22 08:10:21.049,73.573,0
Feb 22 08:10:21.121,74.045,0
Feb 22 08:10:21.191,74.291,0
Feb 22 08:10:21.256,74.411,0
Feb 22 08:10:21.320,74.017,2
Feb 22 08:10:21.386,71.702,1
Feb 22 08:10:21.451,71.601,1
Feb 22 08:10:21.517,72.450,3
Feb 22 08:10:21.582,73.489,0
Feb 22 08:10:21.647,73.541,0
Feb 22 08:10:21.715,72.816,2
Feb 22 08:10:21.779,73.093,3
Feb 22 08:10:21.845,73.778,0
Feb 22 08:10:21.914,74.435,0
Feb 22 08:10:21.979,74.887,0
Feb 22 08:10:22.047,75.173,0
Feb 22 08:10:22.116,73.635,2
Feb 22 08:10:22.181,71.282,1
Feb 22 08:10:22.246,71.415,3
Feb 22 08:10:22.314,72.280,0
Feb 22 08:10:22.380,73.084,0
Feb 22 08:10:22.445,72.796,2
Feb 22 08:10:22.509,72.271,1
Feb 22 08:10:22.574,72.695,3
Feb 22 08:10:22.644,73.067,0
Feb 22 08:10:22.709,73.927,0
Feb 22 08:10:22.774,74.315,0
Feb 22 08:10:22.842,74.425,0
Feb 22 08:10:22.913,74.631,0
Feb 22 08:10:22.978,73.199,2
Feb 22 08:10:23.051,70.859,1
Feb 22 08:10:23.125,71.069,3
Feb 22 08:10:23.190,71.924,0
Feb 22 08:10:23.255,72.590,0
Feb 22 08:10:23.320,72.326,2
Feb 22 08:10:23.386,71.944,1
Feb 22 08:10:23.450,72.373,3
Feb 22 08:10:23.516,73.052,0
Feb 22 08:10:23.581,73.583,0
Feb 22 08:10:23.646,73.866,0
Feb 22 08:10:23.711,74.034,0
Feb 22 08:10:23.774,74.151,0
Feb 22 08:10:23.838,74.245,0
Feb 22 08:10:23.904,74.449,0
Feb 22 08:10:23.971,72.061,2
Feb 22 08:10:24.036,70.651,1
Feb 22 08:10:24.107,71.098,3
Feb 22 08:10:24.173,71.915,0
Feb 22 08:10:24.237,72.444,0
Feb 22 08:10:24.302,71.715,2
Feb 22 08:10:24.366,71.495,1
Feb 22 08:10:24.431,71.951,3
Feb 22 08:10:24.496,72.572,0
Feb 22 08:10:24.563,72.998,0
Feb 22 08:10:24.629,73.218,0
Feb 22 08:10:24.691,73.358,0
Feb 22 08:10:24.756,73.492,0
Feb 22 08:10:24.823,71.538,2
Feb 22 08:10:24.889,70.158,1
Feb 22 08:10:24.955,70.533,3
Feb 22 08:10:25.019,71.482,0
Feb 22 08:10:25.089,72.292,0
Feb 22 08:10:25.155,71.790,2
Feb 22 08:10:25.220,71.422,1
Feb 22 08:10:25.286,71.860,3
Feb 22 08:10:25.351,72.519,0
Feb 22 08:10:25.418,73.026,0
Feb 22 08:10:25.484,73.344,0
Feb 22 08:10:25.549,73.508,0
Feb 22 08:10:25.615,73.650,0
Feb 22 08:10:25.679,73.421,2
