Time,Camera,State
Feb 22 07:48:16.294,78.174,0
Feb 22 07:48:16.364,77.610,2
Feb 22 07:48:16.453,77.712,3
Feb 22 07:48:16.533,78.386,0
Feb 22 07:48:16.598,79.209,0
Feb 22 07:48:16.663,79.582,0
Feb 22 07:48:16.730,79.924,0
Feb 22 07:48:16.796,80.093,0
Feb 22 07:48:16.864,80.284,0
Feb 22 07:48:16.931,77.814,2
Feb 22 07:48:16.996,78.723,3
Feb 22 07:48:17.060,77.379,2
Feb 22 07:48:17.125,76.350,1
Feb 22 07:48:17.188,76.241,1
Feb 22 07:48:17.253,76.162,1
Feb 22 07:48:17.318,75.879,1
Feb 22 07:48:17.384,75.269,1
Feb 22 07:48:17.449,74.471,1
Feb 22 07:48:17.518,74.164,1
Feb 22 07:48:17.583,74.104,1
Feb 22 07:48:17.649,74.255,3
Feb 22 07:48:17.716,74.247,2
Feb 22 07:48:17.780,74.139,1
Feb 22 07:48:17.846,74.080,1
Feb 22 07:48:17.911,74.143,3
Feb 22 07:48:17.976,74.454,0
Feb 22 07:48:18.041,73.904,2
Feb 22 07:48:18.108,71.751,1
Feb 22 07:48:18.174,71.654,1
Feb 22 07:48:18.240,72.228,3
Feb 22 07:48:18.305,72.677,0
Feb 22 07:48:18.369,72.530,2
Feb 22 07:48:18.433,72.216,1
Feb 22 07:48:18.500,72.372,3
Feb 22 07:48:18.566,72.855,0
Feb 22 07:48:18.633,73.305,0
Feb 22 07:48:18.697,73.504,0
Feb 22 07:48:18.761,73.501,2
Feb 22 07:48:18.827,73.583,3
Feb 22 07:48:18.890,73.906,0
Feb 22 07:48:18.954,74.063,0
Feb 22 07:48:19.021,72.603,2
Feb 22 07:48:19.085,71.481,1
Feb 22 07:48:19.150,71.803,3
Feb 22 07:48:19.216,72.453,0
Feb 22 07:48:19.279,72.846,0
Feb 22 07:48:19.344,72.304,2
Feb 22 07:48:19.416,72.159,1
Feb 22 07:48:19.479,72.570,3
Feb 22 07:48:19.544,73.184,0
Feb 22 07:48:19.607,73.586,0
Feb 22 07:48:19.670,73.726,0
Feb 22 07:48:19.734,73.722,2
Feb 22 07:48:19.798,73.824,3
Feb 22 07:48:19.861,74.139,0
Feb 22 07:48:19.925,72.812,2
Feb 22 07:48:19.988,71.540,1
Feb 22 07:48:20.051,70.812,1
Feb 22 07:48:20.116,71.258,3
Feb 22 07:48:20.179,71.643,0
Feb 22 07:48:20.243,71.763,0
Feb 22 07:48:20.307,71.406,2
Feb 22 07:48:20.371,71.368,1
Feb 22 07:48:20.435,71.807,3
Feb 22 07:48:20.498,72.341,0
Feb 22 07:48:20.561,72.682,0
Feb 22 07:48:20.627,72.783,0
Feb 22 07:48:20.690,72.845,0
Feb 22 07:48:20.753,72.880,0
Feb 22 07:48:20.817,73.103,0
Feb 22 07:48:20.880,73.492,0
Feb 22 07:48:20.945,72.336,2
Feb 22 07:48:21.008,70.372,1
Feb 22 07:48:21.072,70.346,1
Feb 22 07:48:21.136,70.959,3
Feb 22 07:48:21.199,71.410,0
Feb 22 07:48:21.262,71.318,2
Feb 22 07:48:21.327,71.081,1
Feb 22 07:48:21.391,71.353,3
Feb 22 07:48:21.455,71.653,0
Feb 22 07:48:21.519,72.284,0
Feb 22 07:48:21.584,72.726,0
Feb 22 07:48:21.647,72.919,0
Feb 22 07:48:21.711,72.914,2
Feb 22 07:48:21.776,72.951,3
Feb 22 07:48:21.840,73.253,0
Feb 22 07:48:21.915,72.622,2
Feb 22 07:48:22.078,70.325,1
Feb 22 07:48:22.164,71.665,3
Feb 22 07:48:22.228,71.662,2
Feb 22 07:48:22.291,71.094,1
Feb 22 07:48:22.356,71.123,3
Feb 22 07:48:22.420,71.603,0
Feb 22 07:48:22.497,72.492,0
Feb 22 07:48:22.561,72.773,0
Feb 22 07:48:22.626,72.746,2
Feb 22 07:48:22.689,72.759,3
Feb 22 07:48:22.753,72.900,0
Feb 22 07:48:22.816,71.263,2
Feb 22 07:48:22.883,69.881,1
Feb 22 07:48:22.947,70.201,3
Feb 22 07:48:23.011,70.995,0
Feb 22 07:48:23.076,71.650,0
Feb 22 07:48:23.140,71.082,2
Feb 22 07:48:23.204,70.730,1
Feb 22 07:48:23.268,71.105,3
Feb 22 07:48:23.332,71.804,0
Feb 22 07:48:23.396,72.328,0
Feb 22 07:48:23.460,72.530,0
Feb 22 07:48:23.526,72.518,2
Feb 22 07:48:23.591,72.526,3
Feb 22 07:48:23.657,72.692,0
Feb 22 07:48:23.723,71.401,2
Feb 22 07:48:23.789,69.414,1
Feb 22 07:48:23.853,70.661,3
Feb 22 07:48:23.918,72.310,0
Feb 22 07:48:23.984,73.309,0
Feb 22 07:48:24.048,73.404,0
Feb 22 07:48:24.113,73.388,2
Feb 22 07:48:24.179,74.025,3
Feb 22 07:48:24.244,74.757,0
Feb 22 07:48:24.309,75.295,0
Feb 22 07:48:24.375,75.479,0
Feb 22 07:48:24.439,75.534,0
Feb 22 07:48:24.505,75.633,0
Feb 22 07:48:24.571,76.049,0
Feb 22 07:48:24.636,76.166,0
Feb 22 07:48:24.701,73.634,2
Feb 22 07:48:24.766,72.919,1
Feb 22 07:48:24.831,73.299,3
Feb 22 07:48:24.896,73.683,0
Feb 22 07:48:24.960,73.802,0
Feb 22 07:48:25.026,73.455,2
