Time,Camera,State
Feb 22 08:08:09.215,76.124,2
Feb 22 08:08:09.306,75.153,1
Feb 22 08:08:09.393,77.612,3
Feb 22 08:08:09.481,79.247,0
Feb 22 08:08:09.571,79.344,0
Feb 22 08:08:09.640,79.364,0
Feb 22 08:08:09.712,80.183,0
Feb 22 08:08:09.781,77.865,2
Feb 22 08:08:09.852,78.998,3
Feb 22 08:08:09.922,79.488,0
Feb 22 08:08:10.006,79.600,0
Feb 22 08:08:10.089,79.543,2
Feb 22 08:08:10.180,75.696,1
Feb 22 08:08:10.254,72.840,1
Feb 22 08:08:10.325,73.991,3
Feb 22 08:08:10.395,74.922,0
Feb 22 08:08:10.463,73.712,2
Feb 22 08:08:10.535,72.566,1
Feb 22 08:08:10.606,73.220,3
Feb 22 08:08:10.690,74.141,0
Feb 22 08:08:10.758,74.533,0
Feb 22 08:08:10.841,74.631,0
Feb 22 08:08:10.920,74.692,0
Feb 22 08:08:10.983,74.845,0
Feb 22 08:08:11.047,71.418,2
Feb 22 08:08:11.111,68.702,1
Feb 22 08:08:11.176,71.259,3
Feb 22 08:08:11.250,73.892,0
Feb 22 08:08:11.340,74.966,0
Feb 22 08:08:11.415,72.615,2
Feb 22 08:08:11.484,73.074,3
Feb 22 08:08:11.549,74.585,0
Feb 22 08:08:11.613,75.490,0
Feb 22 08:08:11.676,75.921,0
Feb 22 08:08:11.739,76.129,0
Feb 22 08:08:11.803,76.262,0
Feb 22 08:08:11.873,74.583,2
Feb 22 08:08:11.945,69.566,1
Feb 22 08:08:12.009,70.050,3
Feb 22 08:08:12.072,71.521,0
Feb 22 08:08:12.136,72.777,0
Feb 22 08:08:12.200,72.412,2
Feb 22 08:08:12.264,71.189,1
Feb 22 08:08:12.333,71.787,3
Feb 22 08:08:12.397,73.207,0
Feb 22 08:08:12.460,74.070,0
Feb 22 08:08:12.525,74.384,0
Feb 22 08:08:12.588,74.461,0
Feb 22 08:08:12.651,74.527,0
Feb 22 08:08:12.716,74.801,0
Feb 22 08:08:12.780,74.924,0
Feb 22 08:08:12.843,69.728,2
Feb 22 08:08:12.911,69.216,1
Feb 22 08:08:12.977,71.686,3
Feb 22 08:08:13.042,73.661,0
Feb 22 08:08:13.106,74.370,0
Feb 22 08:08:13.174,73.298,2
Feb 22 08:08:13.238,73.797,3
Feb 22 08:08:13.307,75.220,0
Feb 22 08:08:13.370,76.559,0
Feb 22 08:08:13.433,77.283,0
Feb 22 08:08:13.498,77.571,0
Feb 22 08:08:13.561,77.845,0
Feb 22 08:08:13.624,78.318,0
Feb 22 08:08:13.685,78.620,0
Feb 22 08:08:13.748,78.590,2
Feb 22 08:08:13.813,73.005,1
Feb 22 08:08:13.876,72.251,1
Feb 22 08:08:13.941,73.411,3
Feb 22 08:08:14.003,75.223,0
Feb 22 08:08:14.066,75.471,0
Feb 22 08:08:14.129,73.632,2
Feb 22 08:08:14.191,73.883,3
Feb 22 08:08:14.255,74.638,0
Feb 22 08:08:14.318,76.212,0
Feb 22 08:08:14.381,77.065,0
Feb 22 08:08:14.444,77.413,0
Feb 22 08:08:14.508,77.600,0
Feb 22 08:08:14.572,77.938,0
Feb 22 08:08:14.635,78.407,0
Feb 22 08:08:14.699,75.715,2
Feb 22 08:08:14.762,71.488,1
Feb 22 08:08:14.825,71.976,3
Feb 22 08:08:14.891,72.564,0
Feb 22 08:08:14.956,73.641,0
Feb 22 08:08:15.020,74.123,0
Feb 22 08:08:15.083,73.010,2
Feb 22 08:08:15.146,72.859,1
Feb 22 08:08:15.210,74.073,3
Feb 22 08:08:15.274,75.246,0
Feb 22 08:08:15.337,75.963,0
Feb 22 08:08:15.407,76.307,0
Feb 22 08:08:15.470,76.550,0
Feb 22 08:08:15.534,76.873,0
Feb 22 08:08:15.597,77.293,0
Feb 22 08:08:15.661,77.738,0
Feb 22 08:08:15.723,77.143,2
Feb 22 08:08:15.787,71.391,1
Feb 22 08:08:15.856,71.034,1
Feb 22 08:08:15.933,72.280,3
Feb 22 08:08:16.012,73.828,0
Feb 22 08:08:16.126,73.107,2
Feb 22 08:08:16.239,73.026,1
Feb 22 08:08:16.358,74.872,3
Feb 22 08:08:16.440,75.687,0
Feb 22 08:08:16.525,75.937,0
Feb 22 08:08:16.650,76.212,0
Feb 22 08:08:17.069,71.410,2
Feb 22 08:08:17.176,72.726,3
Feb 22 08:08:17.256,74.420,0
Feb 22 08:08:17.347,75.435,0
Feb 22 08:08:17.456,76.092,0
Feb 22 08:08:17.535,76.405,0
Feb 22 08:08:17.651,76.670,0
Feb 22 08:08:17.854,70.658,2
Feb 22 08:08:17.941,74.139,3
Feb 22 08:08:18.078,73.592,2
Feb 22 08:08:18.317,73.973,3
Feb 22 08:08:18.389,75.978,0
Feb 22 08:08:18.469,76.321,0
Feb 22 08:08:18.732,76.745,0
Feb 22 08:08:18.947,72.520,2
Feb 22 08:08:19.057,73.231,3
Feb 22 08:08:19.131,73.249,0
Feb 22 08:08:19.211,74.711,0
Feb 22 08:08:19.313,75.378,0
Feb 22 08:08:19.410,76.016,0
Feb 22 08:08:19.519,76.162,0
Feb 22 08:08:19.604,76.632,0
Feb 22 08:08:19.680,71.312,2
Feb 22 08:08:19.754,70.231,1
Feb 22 08:08:19.826,71.283,3
Feb 22 08:08:19.893,72.690,0
Feb 22 08:08:19.961,73.741,0
Feb 22 08:08:20.047,72.565,2
Feb 22 08:08:20.118,72.720,3
Feb 22 08:08:20.219,74.541,0
Feb 22 08:08:20.292,75.713,0
Feb 22 08:08:20.362,76.145,0
Feb 22 08:08:20.433,76.358,0
Feb 22 08:08:20.504,76.682,0
Feb 22 08:08:20.601,75.880,2
Feb 22 08:08:20.666,70.861,1
Feb 22 08:08:20.731,72.014,3
Feb 22 08:08:20.795,72.833,0
Feb 22 08:08:20.865,74.595,0
Feb 22 08:08:20.929,73.764,2
Feb 22 08:08:20.996,72.907,1
Feb 22 08:08:21.060,73.330,3
Feb 22 08:08:21.125,75.072,0
Feb 22 08:08:21.191,76.343,0
Feb 22 08:08:21.255,77.230,0
Feb 22 08:08:21.321,77.692,0
Feb 22 08:08:21.412,77.933,0
Feb 22 08:08:21.516,77.964,0
Feb 22 08:08:21.660,70.742,2
Feb 22 08:08:21.730,71.187,3
Feb 22 08:08:21.812,72.246,0
Feb 22 08:08:21.889,71.179,2
Feb 22 08:08:21.976,70.541,1
Feb 22 08:08:22.048,71.937,3
Feb 22 08:08:22.133,73.180,0
Feb 22 08:08:22.216,74.322,0
Feb 22 08:08:22.285,74.948,0
Feb 22 08:08:22.351,75.796,0
Feb 22 08:08:22.424,76.668,0
Feb 22 08:08:22.509,75.931,2
Feb 22 08:08:22.576,70.707,1
Feb 22 08:08:22.642,71.533,3
Feb 22 08:08:22.706,73.228,0
Feb 22 08:08:22.771,74.232,0
Feb 22 08:08:22.836,72.847,2
Feb 22 08:08:22.901,71.672,1
Feb 22 08:08:22.965,72.419,3
Feb 22 08:08:23.028,73.119,0
Feb 22 08:08:23.092,74.537,0
Feb 22 08:08:23.157,75.679,0
Feb 22 08:08:23.232,76.527,0
Feb 22 08:08:23.296,77.844,0
Feb 22 08:08:23.362,78.244,0
Feb 22 08:08:23.426,77.773,2
Feb 22 08:08:23.491,71.724,1
Feb 22 08:08:23.556,70.876,1
Feb 22 08:08:23.620,71.522,3
Feb 22 08:08:23.685,72.496,0
Feb 22 08:08:23.749,72.190,2
Feb 22 08:08:23.813,70.686,1
Feb 22 08:08:23.877,70.610,1
Feb 22 08:08:23.941,71.272,3
Feb 22 08:08:24.005,72.236,0
Feb 22 08:08:24.068,72.825,0
Feb 22 08:08:24.131,73.068,0
Feb 22 08:08:24.196,72.951,2
Feb 22 08:08:24.262,73.094,3
Feb 22 08:08:24.325,71.073,2
Feb 22 08:08:24.389,69.361,1
Feb 22 08:08:24.454,71.014,3
Feb 22 08:08:24.518,73.458,0
Feb 22 08:08:24.584,74.741,0
Feb 22 08:08:24.650,74.249,2
Feb 22 08:08:24.714,73.690,1
Feb 22 08:08:24.777,74.153,3
Feb 22 08:08:24.841,75.105,0
Feb 22 08:08:24.912,75.490,0
Feb 22 08:08:24.976,75.521,0
Feb 22 08:08:25.040,75.493,2
Feb 22 08:08:25.102,75.650,3
Feb 22 08:08:25.166,75.964,0
Feb 22 08:08:25.229,76.271,0
Feb 22 08:08:25.293,75.013,2
Feb 22 08:08:25.356,71.678,1
Feb 22 08:08:25.419,70.961,1
Feb 22 08:08:25.483,72.620,3
Feb 22 08:08:25.547,73.799,0
Feb 22 08:08:25.610,74.202,0
Feb 22 08:08:25.673,74.269,0
Feb 22 08:08:25.736,74.847,0
Feb 22 08:08:25.799,75.771,0
Feb 22 08:08:25.866,76.232,0
Feb 22 08:08:25.929,76.849,0
Feb 22 08:08:25.993,77.097,0
Feb 22 08:08:26.056,77.290,0
Feb 22 08:08:26.119,77.517,0
Feb 22 08:08:26.183,77.887,0
Feb 22 08:08:26.246,78.629,0
Feb 22 08:08:26.309,78.928,0
Feb 22 08:08:26.372,75.021,2
Feb 22 08:08:26.435,74.132,1
Feb 22 08:08:26.502,74.666,3
Feb 22 08:08:26.564,75.627,0
Feb 22 08:08:26.628,76.034,0
Feb 22 08:08:26.691,75.487,2
Feb 22 08:08:26.754,74.795,1
Feb 22 08:08:26.818,75.086,3
Feb 22 08:08:26.882,75.952,0
Feb 22 08:08:26.952,76.769,0
Feb 22 08:08:27.017,77.250,0
Feb 22 08:08:27.080,77.502,0
Feb 22 08:08:27.143,77.759,0
Feb 22 08:08:27.205,78.310,0
Feb 22 08:08:27.270,77.923,2
Feb 22 08:08:27.333,74.577,1
Feb 22 08:08:27.397,74.180,1
Feb 22 08:08:27.459,74.486,3
Feb 22 08:08:27.524,75.449,0
Feb 22 08:08:27.586,76.328,0
Feb 22 08:08:27.651,75.425,2
Feb 22 08:08:27.714,74.868,1
Feb 22 08:08:27.780,75.362,3
Feb 22 08:08:27.844,76.270,0
Feb 22 08:08:27.907,77.005,0
Feb 22 08:08:27.970,77.408,0
Feb 22 08:08:28.042,77.540,0
Feb 22 08:08:28.107,77.655,0
Feb 22 08:08:28.170,78.125,0
