Time,Camera,State
Feb 22 10:16:48.122,78.364,0
Feb 22 10:16:48.200,79.161,0
Feb 22 10:16:48.275,79.159,2
Feb 22 10:16:48.344,78.820,1
Feb 22 10:16:48.420,79.384,3
Feb 22 10:16:48.496,79.737,0
Feb 22 10:16:48.573,79.184,2
Feb 22 10:16:48.647,79.351,3
Feb 22 10:16:48.717,79.662,0
Feb 22 10:16:48.802,80.137,0
Feb 22 10:16:48.889,80.147,0
Feb 22 10:16:48.963,77.542,2
Feb 22 10:16:49.035,78.244,3
Feb 22 10:16:49.106,78.852,0
Feb 22 10:16:49.178,79.120,0
Feb 22 10:16:49.252,79.068,2
Feb 22 10:16:49.322,78.674,1
Feb 22 10:16:49.406,78.440,1
Feb 22 10:16:49.475,78.287,1
Feb 22 10:16:49.547,76.971,1
Feb 22 10:16:49.633,75.420,1
Feb 22 10:16:49.704,75.753,3
Feb 22 10:16:49.769,76.021,0
Feb 22 10:16:49.835,76.144,0
Feb 22 10:16:49.898,75.826,2
Feb 22 10:16:49.964,75.762,1
Feb 22 10:16:50.032,76.012,3
Feb 22 10:16:50.096,76.409,0
Feb 22 10:16:50.161,76.717,0
Feb 22 10:16:50.230,76.915,0
Feb 22 10:16:50.294,77.072,0
Feb 22 10:16:50.361,77.272,0
Feb 22 10:16:50.427,77.562,0
Feb 22 10:16:50.492,76.972,2
Feb 22 10:16:50.557,75.743,1
Feb 22 10:16:50.628,75.768,3
Feb 22 10:16:50.693,76.134,0
Feb 22 10:16:50.763,76.472,0
Feb 22 10:16:50.828,76.313,2
Feb 22 10:16:50.893,75.991,1
Feb 22 10:16:50.960,76.058,3
Feb 22 10:16:51.028,76.334,0
Feb 22 10:16:51.093,76.600,0
Feb 22 10:16:51.159,76.793,0
Feb 22 10:16:51.233,76.934,0
Feb 22 10:16:51.297,77.084,0
Feb 22 10:16:51.362,77.277,0
Feb 22 10:16:51.426,77.432,0
Feb 22 10:16:51.507,76.115,2
Feb 22 10:16:51.574,75.307,1
Feb 22 10:16:51.639,75.449,3
Feb 22 10:16:51.705,75.686,0
Feb 22 10:16:51.770,75.866,0
Feb 22 10:16:51.835,75.696,2
Feb 22 10:16:51.899,75.531,1
Feb 22 10:16:51.965,75.691,3
Feb 22 10:16:52.034,76.002,0
Feb 22 10:16:52.098,76.267,0
Feb 22 10:16:52.164,76.438,0
Feb 22 10:16:52.230,76.567,0
Feb 22 10:16:52.294,76.697,0
Feb 22 10:16:52.358,76.913,0
Feb 22 10:16:52.422,77.229,0
Feb 22 10:16:52.486,76.933,2
Feb 22 10:16:52.551,75.956,1
Feb 22 10:16:52.620,74.836,1
Feb 22 10:16:52.686,74.981,3
Feb 22 10:16:52.751,75.080,0
Feb 22 10:16:52.816,75.265,0
Feb 22 10:16:52.882,75.111,2
Feb 22 10:16:52.946,74.873,1
Feb 22 10:16:53.016,74.938,3
Feb 22 10:16:53.081,75.183,0
Feb 22 10:16:53.145,75.421,0
Feb 22 10:16:53.212,75.599,0
Feb 22 10:16:53.277,75.703,0
Feb 22 10:16:53.341,75.783,0
Feb 22 10:16:53.405,75.910,0
Feb 22 10:16:53.471,76.146,0
Feb 22 10:16:53.535,75.919,2
Feb 22 10:16:53.601,74.360,1
Feb 22 10:16:53.667,73.961,1
Feb 22 10:16:53.732,74.145,3
Feb 22 10:16:53.797,74.417,0
Feb 22 10:16:53.861,74.461,0
Feb 22 10:16:53.925,74.088,2
Feb 22 10:16:53.990,73.969,1
Feb 22 10:16:54.058,74.109,3
Feb 22 10:16:54.123,74.339,0
Feb 22 10:16:54.190,74.521,0
Feb 22 10:16:54.255,74.635,0
Feb 22 10:16:54.335,74.705,0
Feb 22 10:16:54.399,74.797,0
Feb 22 10:16:54.462,74.779,2
Feb 22 10:16:54.526,73.362,1
