Time,Camera,State
Feb 08 09:28:27.669,76.663,0
Feb 08 09:28:27.705,75.192,2
Feb 08 09:28:27.740,92.454,3
Feb 08 09:28:27.774,83.510,2
Feb 08 09:28:27.808,85.017,3
Feb 08 09:28:27.841,85.615,0
Feb 08 09:28:27.876,85.945,0
Feb 08 09:28:27.909,86.177,0
Feb 08 09:28:27.944,86.106,2
Feb 08 09:28:27.977,86.235,3
Feb 08 09:28:28.011,86.071,2
Feb 08 09:28:28.045,86.009,1
Feb 08 09:28:28.079,85.854,1
Feb 08 09:28:28.113,85.710,1
Feb 08 09:28:28.146,86.060,3
Feb 08 09:28:28.180,86.229,0
Feb 08 09:28:28.214,86.411,0
Feb 08 09:28:28.248,86.782,0
Feb 08 09:28:28.282,86.960,0
Feb 08 09:28:28.316,87.324,0
Feb 08 09:28:28.350,87.400,0
Feb 08 09:28:28.383,87.357,2
Feb 08 09:28:28.417,87.330,1
Feb 08 09:28:28.451,87.263,1
Feb 08 09:28:28.485,87.328,3
Feb 08 09:28:28.518,87.332,0
Feb 08 09:28:28.552,87.380,0
Feb 08 09:28:28.587,87.412,0
Feb 08 09:28:28.620,87.458,0
Feb 08 09:28:28.654,87.485,0
Feb 08 09:28:28.688,87.531,0
Feb 08 09:28:28.722,87.680,0
Feb 08 09:28:28.756,87.695,0
Feb 08 09:28:28.790,87.683,2
Feb 08 09:28:28.824,87.694,3
Feb 08 09:28:28.858,87.704,0
Feb 08 09:28:28.892,87.724,0
Feb 08 09:28:28.926,87.721,2
Feb 08 09:28:28.959,87.746,3
Feb 08 09:28:28.993,87.777,0
Feb 08 09:28:29.027,87.781,0
Feb 08 09:28:29.061,87.749,2
Feb 08 09:28:29.095,87.742,1
Feb 08 09:28:29.129,87.744,3
Feb 08 09:28:29.162,87.759,0
Feb 08 09:28:29.197,87.789,0
Feb 08 09:28:29.231,87.831,0
Feb 08 09:28:29.265,87.857,0
Feb 08 09:28:29.299,87.864,0
Feb 08 09:28:29.333,87.872,0
Feb 08 09:28:29.366,87.860,2
Feb 08 09:28:29.400,87.854,1
Feb 08 09:28:29.434,87.841,1
Feb 08 09:28:29.469,87.824,1
Feb 08 09:28:29.505,87.812,1
Feb 08 09:28:29.540,88.031,3
Feb 08 09:28:29.574,87.944,2
Feb 08 09:28:29.609,88.085,3
Feb 08 09:28:29.643,88.159,0
Feb 08 09:28:29.677,88.210,0
Feb 08 09:28:29.711,87.240,2
Feb 08 09:28:29.745,87.359,3
Feb 08 09:28:29.779,87.479,0
Feb 08 09:28:29.814,87.566,0
Feb 08 09:28:29.848,87.703,0
Feb 08 09:28:29.883,87.794,0
Feb 08 09:28:29.917,87.882,0
Feb 08 09:28:29.952,87.943,0
Feb 08 09:28:29.986,88.004,0
Feb 08 09:28:30.020,88.036,0
Feb 08 09:28:30.054,88.053,0
Feb 08 09:28:30.089,88.063,0
Feb 08 09:28:30.124,88.069,0
Feb 08 09:28:30.158,88.052,2
Feb 08 09:28:30.193,88.073,3
Feb 08 09:28:30.228,88.032,2
Feb 08 09:28:30.262,88.056,3
Feb 08 09:28:30.296,88.061,0
Feb 08 09:28:30.331,88.058,2
Feb 08 09:28:30.365,88.289,3
Feb 08 09:28:30.399,88.554,0
Feb 08 09:28:30.433,88.575,0
Feb 08 09:28:30.467,88.586,0
Feb 08 09:28:30.501,88.714,0
Feb 08 09:28:30.535,88.712,2
Feb 08 09:28:30.569,88.685,1
Feb 08 09:28:30.604,88.713,3
Feb 08 09:28:30.638,88.773,0
Feb 08 09:28:30.672,88.837,0
Feb 08 09:28:30.715,88.924,0
Feb 08 09:28:30.749,88.951,0
Feb 08 09:28:30.783,88.888,2
Feb 08 09:28:30.817,88.860,1
Feb 08 09:28:30.851,89.021,3
Feb 08 09:28:30.885,89.117,0
Feb 08 09:28:30.919,89.137,0
Feb 08 09:28:30.952,88.838,2
Feb 08 09:28:30.986,88.351,1
Feb 08 09:28:31.020,87.973,1
Feb 08 09:28:31.054,87.858,1
Feb 08 09:28:31.088,87.766,1
Feb 08 09:28:31.122,87.707,1
Feb 08 09:28:31.155,87.606,1
Feb 08 09:28:31.189,87.684,3
Feb 08 09:28:31.223,87.855,0
Feb 08 09:28:31.256,90.044,0
Feb 08 09:28:31.289,90.402,0
Feb 08 09:28:31.323,90.397,2
Feb 08 09:28:31.357,90.366,1
Feb 08 09:28:31.389,90.285,1
Feb 08 09:28:31.423,90.180,1
Feb 08 09:28:31.456,90.056,1
Feb 08 09:28:31.490,89.986,1
Feb 08 09:28:31.523,89.937,1
Feb 08 09:28:31.557,89.838,1
Feb 08 09:28:31.591,89.777,1
Feb 08 09:28:31.625,89.777,1
Feb 08 09:28:31.659,89.836,3
Feb 08 09:28:31.692,89.870,0
Feb 08 09:28:31.726,89.879,0
Feb 08 09:28:31.760,89.879,0
Feb 08 09:28:31.794,89.869,2
Feb 08 09:28:31.829,89.907,3
Feb 08 09:28:31.863,90.028,0
Feb 08 09:28:31.897,90.133,0
Feb 08 09:28:31.930,90.137,0
Feb 08 09:28:31.964,90.114,2
Feb 08 09:28:31.998,90.265,3
Feb 08 09:28:32.032,90.801,0
Feb 08 09:28:32.067,90.963,0
Feb 08 09:28:32.101,91.112,0
Feb 08 09:28:32.135,91.690,0
Feb 08 09:28:32.168,91.799,0
Feb 08 09:28:32.202,91.674,2
Feb 08 09:28:32.236,91.782,3
Feb 08 09:28:32.269,91.855,0
Feb 08 09:28:32.303,91.828,2
Feb 08 09:28:32.336,91.747,1
Feb 08 09:28:32.370,91.525,1
Feb 08 09:28:32.404,91.326,1
Feb 08 09:28:32.437,91.276,1
Feb 08 09:28:32.471,91.242,1
Feb 08 09:28:32.505,91.554,3
Feb 08 09:28:32.538,91.827,0
Feb 08 09:28:32.573,92.048,0
Feb 08 09:28:32.607,92.944,0
Feb 08 09:28:32.641,93.336,0
Feb 08 09:28:32.675,93.304,2
Feb 08 09:28:32.709,92.282,1
Feb 08 09:28:32.743,91.223,1
Feb 08 09:28:32.777,90.778,1
Feb 08 09:28:32.811,90.440,1
Feb 08 09:28:32.845,89.887,1
Feb 08 09:28:32.879,89.499,1
Feb 08 09:28:32.913,89.373,1
Feb 08 09:28:32.947,89.069,1
Feb 08 09:28:32.981,88.720,1
Feb 08 09:28:33.015,88.521,1
Feb 08 09:28:33.049,88.207,1
Feb 08 09:28:33.083,87.942,1
Feb 08 09:28:33.118,87.750,1
Feb 08 09:28:33.152,87.688,1
Feb 08 09:28:33.185,87.730,3
Feb 08 09:28:33.220,87.727,2
Feb 08 09:28:33.253,87.842,3
Feb 08 09:28:33.288,87.832,2
Feb 08 09:28:33.322,87.801,1
Feb 08 09:28:33.356,87.867,3
Feb 08 09:28:33.392,88.088,0
Feb 08 09:28:33.426,90.638,0
Feb 08 09:28:33.460,90.929,0
Feb 08 09:28:33.494,91.463,0
Feb 08 09:28:33.527,92.346,0
Feb 08 09:28:33.561,91.523,2
Feb 08 09:28:33.596,89.969,1
Feb 08 09:28:33.630,88.989,1
Feb 08 09:28:33.664,88.545,1
Feb 08 09:28:33.698,88.372,1
Feb 08 09:28:33.732,88.232,1
Feb 08 09:28:33.776,88.107,1
Feb 08 09:28:33.810,87.979,1
Feb 08 09:28:33.844,87.878,1
Feb 08 09:28:33.878,87.856,1
Feb 08 09:28:33.912,87.923,3
Feb 08 09:28:33.945,87.976,0
Feb 08 09:28:33.979,87.844,2
Feb 08 09:28:34.013,87.710,1
Feb 08 09:28:34.047,87.484,1
Feb 08 09:28:34.081,87.252,1
Feb 08 09:28:34.114,86.998,1
Feb 08 09:28:34.148,86.824,1
Feb 08 09:28:34.182,86.757,1
Feb 08 09:28:34.216,86.584,1
Feb 08 09:28:34.250,86.463,1
Feb 08 09:28:34.284,86.397,1
Feb 08 09:28:34.317,86.502,3
Feb 08 09:28:34.351,86.582,0
Feb 08 09:28:34.386,86.482,2
Feb 08 09:28:34.419,86.444,1
Feb 08 09:28:34.453,86.368,1
Feb 08 09:28:34.488,86.346,1
Feb 08 09:28:34.524,86.283,1
Feb 08 09:28:34.557,86.244,1
Feb 08 09:28:34.592,86.210,1
Feb 08 09:28:34.625,86.151,1
Feb 08 09:28:34.660,86.139,1
Feb 08 09:28:34.693,85.938,1
Feb 08 09:28:34.727,85.798,1
Feb 08 09:28:34.761,85.537,1
Feb 08 09:28:34.795,85.235,1
Feb 08 09:28:34.828,85.161,1
Feb 08 09:28:34.863,85.214,3
Feb 08 09:28:34.897,85.179,2
Feb 08 09:28:34.931,85.172,1
Feb 08 09:28:34.966,85.115,1
Feb 08 09:28:34.999,84.930,1
Feb 08 09:28:35.033,84.830,1
Feb 08 09:28:35.067,84.725,1
Feb 08 09:28:35.102,84.375,1
Feb 08 09:28:35.137,84.266,1
Feb 08 09:28:35.171,84.243,1
Feb 08 09:28:35.205,84.353,3
Feb 08 09:28:35.240,84.196,2
Feb 08 09:28:35.274,84.482,3
Feb 08 09:28:35.308,84.856,0
Feb 08 09:28:35.342,83.968,2
Feb 08 09:28:35.376,83.737,1
Feb 08 09:28:35.410,83.797,3
Feb 08 09:28:35.444,83.981,0
Feb 08 09:28:35.478,84.043,0
Feb 08 09:28:35.513,83.952,2
Feb 08 09:28:35.546,84.018,3
Feb 08 09:28:35.581,84.103,0
Feb 08 09:28:35.615,84.185,0
Feb 08 09:28:35.648,84.386,0
Feb 08 09:28:35.682,84.343,2
Feb 08 09:28:35.716,84.137,1
Feb 08 09:28:35.751,84.108,1
Feb 08 09:28:35.784,84.184,3
Feb 08 09:28:35.818,84.214,0
Feb 08 09:28:35.853,84.435,0
Feb 08 09:28:35.886,84.841,0
Feb 08 09:28:35.920,85.211,0
Feb 08 09:28:35.954,85.516,0
Feb 08 09:28:35.988,85.771,0
Feb 08 09:28:36.023,86.013,0
Feb 08 09:28:36.057,86.114,0
Feb 08 09:28:36.091,86.226,0
Feb 08 09:28:36.125,86.354,0
Feb 08 09:28:36.159,86.626,0
Feb 08 09:28:36.193,86.890,0
Feb 08 09:28:36.227,87.153,0
Feb 08 09:28:36.261,87.679,0
Feb 08 09:28:36.295,87.737,0
Feb 08 09:28:36.329,87.779,0
Feb 08 09:28:36.363,87.900,0
Feb 08 09:28:36.396,88.093,0
Feb 08 09:28:36.430,88.264,0
Feb 08 09:28:36.464,88.376,0
Feb 08 09:28:36.498,88.496,0
Feb 08 09:28:36.531,88.600,0
Feb 08 09:28:36.565,88.716,0
Feb 08 09:28:36.599,88.642,2
Feb 08 09:28:36.633,88.553,1
Feb 08 09:28:36.667,88.684,3
Feb 08 09:28:36.700,88.838,0
Feb 08 09:28:36.735,88.958,0
Feb 08 09:28:36.769,89.043,0
Feb 08 09:28:36.803,89.146,0
Feb 08 09:28:36.844,89.267,0
Feb 08 09:28:36.878,89.377,0
Feb 08 09:28:36.912,89.472,0
Feb 08 09:28:36.945,89.562,0
Feb 08 09:28:36.979,89.679,0
Feb 08 09:28:37.012,89.788,0
Feb 08 09:28:37.047,89.674,2
Feb 08 09:28:37.081,89.629,1
Feb 08 09:28:37.114,89.732,3
Feb 08 09:28:37.148,89.847,0
Feb 08 09:28:37.186,89.968,0
Feb 08 09:28:37.222,90.073,0
Feb 08 09:28:37.256,90.156,0
Feb 08 09:28:37.290,90.205,0
Feb 08 09:28:37.323,90.260,0
Feb 08 09:28:37.358,90.320,0
Feb 08 09:28:37.393,90.415,0
Feb 08 09:28:37.427,90.523,0
Feb 08 09:28:37.461,90.617,0
Feb 08 09:28:37.495,90.833,0
Feb 08 09:28:37.527,90.946,0
Feb 08 09:28:37.562,91.052,0
Feb 08 09:28:37.595,90.937,2
Feb 08 09:28:37.629,90.833,1
Feb 08 09:28:37.662,90.954,3
Feb 08 09:28:37.695,91.093,0
Feb 08 09:28:37.729,91.239,0
Feb 08 09:28:37.762,91.379,0
Feb 08 09:28:37.795,91.508,0
Feb 08 09:28:37.828,91.642,0
Feb 08 09:28:37.862,91.766,0
Feb 08 09:28:37.895,91.906,0
Feb 08 09:28:37.929,92.047,0
Feb 08 09:28:37.962,92.214,0
Feb 08 09:28:37.995,92.359,0
Feb 08 09:28:38.029,92.475,0
Feb 08 09:28:38.062,92.567,0
Feb 08 09:28:38.096,92.673,0
Feb 08 09:28:38.129,92.770,0
Feb 08 09:28:38.162,92.840,0
Feb 08 09:28:38.195,92.909,0
Feb 08 09:28:38.229,92.709,2
Feb 08 09:28:38.262,92.567,1
Feb 08 09:28:38.295,92.626,3
Feb 08 09:28:38.328,92.674,0
Feb 08 09:28:38.362,92.701,0
Feb 08 09:28:38.395,92.722,0
Feb 08 09:28:38.429,92.707,2
Feb 08 09:28:38.463,92.686,1
Feb 08 09:28:38.496,92.646,1
Feb 08 09:28:38.529,92.630,1
Feb 08 09:28:38.562,92.641,3
Feb 08 09:28:38.596,92.664,0
Feb 08 09:28:38.629,92.696,0
Feb 08 09:28:38.662,92.711,0
Feb 08 09:28:38.695,92.723,0
Feb 08 09:28:38.729,92.742,0
Feb 08 09:28:38.763,92.762,0
Feb 08 09:28:38.795,92.763,0
Feb 08 09:28:38.829,92.765,0
Feb 08 09:28:38.862,92.790,0
Feb 08 09:28:38.896,92.812,0
Feb 08 09:28:38.929,92.812,2
Feb 08 09:28:38.963,92.822,3
Feb 08 09:28:38.997,92.802,2
Feb 08 09:28:39.031,92.784,1
Feb 08 09:28:39.064,92.785,3
Feb 08 09:28:39.097,92.804,0
Feb 08 09:28:39.131,92.825,0
Feb 08 09:28:39.164,92.867,0
Feb 08 09:28:39.199,92.913,0
Feb 08 09:28:39.232,92.947,0
Feb 08 09:28:39.266,92.982,0
Feb 08 09:28:39.299,93.012,0
Feb 08 09:28:39.332,93.056,0
Feb 08 09:28:39.365,93.098,0
Feb 08 09:28:39.398,93.125,0
Feb 08 09:28:39.432,93.163,0
Feb 08 09:28:39.466,93.181,0
Feb 08 09:28:39.501,93.219,0
Feb 08 09:28:39.536,93.247,0
Feb 08 09:28:39.570,93.266,0
Feb 08 09:28:39.603,93.285,0
Feb 08 09:28:39.637,93.320,0
Feb 08 09:28:39.670,93.367,0
Feb 08 09:28:39.703,93.426,0
Feb 08 09:28:39.736,93.465,0
Feb 08 09:28:39.770,93.495,0
Feb 08 09:28:39.803,93.508,0
Feb 08 09:28:39.837,93.515,0
Feb 08 09:28:39.870,93.539,0
Feb 08 09:28:39.910,93.580,0
Feb 08 09:28:39.943,93.612,0
Feb 08 09:28:39.976,93.645,0
Feb 08 09:28:40.009,93.671,0
Feb 08 09:28:40.042,93.708,0
Feb 08 09:28:40.075,93.727,0
Feb 08 09:28:40.109,93.748,0
Feb 08 09:28:40.142,93.769,0
Feb 08 09:28:40.175,93.791,0
Feb 08 09:28:40.208,93.797,0
Feb 08 09:28:40.242,93.820,0
Feb 08 09:28:40.275,93.854,0
Feb 08 09:28:40.309,93.875,0
Feb 08 09:28:40.343,93.908,0
Feb 08 09:28:40.376,93.920,0
Feb 08 09:28:40.409,93.944,0
Feb 08 09:28:40.442,93.970,0
Feb 08 09:28:40.476,93.991,0
Feb 08 09:28:40.509,94.021,0
Feb 08 09:28:40.542,94.036,0
Feb 08 09:28:40.575,94.047,0
Feb 08 09:28:40.609,94.059,0
Feb 08 09:28:40.643,94.081,0
Feb 08 09:28:40.676,94.095,0
Feb 08 09:28:40.710,94.097,0
Feb 08 09:28:40.743,94.090,2
Feb 08 09:28:40.776,94.093,3
Feb 08 09:28:40.809,94.109,0
Feb 08 09:28:40.843,94.139,0
Feb 08 09:28:40.878,94.154,0
Feb 08 09:28:40.911,94.184,0
Feb 08 09:28:40.944,94.225,0
Feb 08 09:28:40.978,94.280,0
Feb 08 09:28:41.011,94.303,0
Feb 08 09:28:41.044,94.318,0
Feb 08 09:28:41.077,94.341,0
Feb 08 09:28:41.111,94.373,0
Feb 08 09:28:41.145,94.402,0
Feb 08 09:28:41.178,94.429,0
Feb 08 09:28:41.211,94.456,0
Feb 08 09:28:41.245,94.488,0
Feb 08 09:28:41.278,94.509,0
Feb 08 09:28:41.312,94.538,0
Feb 08 09:28:41.345,94.572,0
Feb 08 09:28:41.380,94.603,0
Feb 08 09:28:41.414,94.629,0
Feb 08 09:28:41.448,94.672,0
Feb 08 09:28:41.486,94.691,0
Feb 08 09:28:41.520,94.697,0
Feb 08 09:28:41.554,94.707,0
Feb 08 09:28:41.587,94.730,0
Feb 08 09:28:41.622,94.753,0
Feb 08 09:28:41.656,94.779,0
Feb 08 09:28:41.690,94.838,0
Feb 08 09:28:41.724,94.912,0
Feb 08 09:28:41.757,94.970,0
Feb 08 09:28:41.791,95.019,0
Feb 08 09:28:41.824,95.068,0
Feb 08 09:28:41.857,95.124,0
Feb 08 09:28:41.891,95.148,0
Feb 08 09:28:41.924,95.167,0
Feb 08 09:28:41.958,95.193,0
Feb 08 09:28:41.991,95.233,0
Feb 08 09:28:42.025,95.269,0
Feb 08 09:28:42.058,95.305,0
Feb 08 09:28:42.092,95.340,0
Feb 08 09:28:42.126,95.374,0
Feb 08 09:28:42.160,95.405,0
Feb 08 09:28:42.193,95.439,0
Feb 08 09:28:42.227,95.464,0
Feb 08 09:28:42.260,95.469,0
Feb 08 09:28:42.293,95.458,2
Feb 08 09:28:42.327,95.452,1
Feb 08 09:28:42.361,95.454,3
Feb 08 09:28:42.394,95.498,0
Feb 08 09:28:42.428,95.528,0
Feb 08 09:28:42.461,95.557,0
Feb 08 09:28:42.494,95.591,0
Feb 08 09:28:42.528,95.611,0
Feb 08 09:28:42.562,95.631,0
Feb 08 09:28:42.595,95.660,0
Feb 08 09:28:42.630,95.690,0
Feb 08 09:28:42.663,95.716,0
Feb 08 09:28:42.696,95.769,0
Feb 08 09:28:42.730,95.798,0
Feb 08 09:28:42.764,95.811,0
Feb 08 09:28:42.797,95.808,2
Feb 08 09:28:42.831,95.811,3
Feb 08 09:28:42.865,95.820,0
Feb 08 09:28:42.898,95.829,0
Feb 08 09:28:42.932,95.871,0
Feb 08 09:28:42.972,95.901,0
Feb 08 09:28:43.005,95.918,0
Feb 08 09:28:43.038,95.920,0
Feb 08 09:28:43.071,95.902,2
Feb 08 09:28:43.105,95.891,1
Feb 08 09:28:43.138,95.866,1
Feb 08 09:28:43.171,95.858,1
Feb 08 09:28:43.205,95.863,3
Feb 08 09:28:43.237,95.868,0
Feb 08 09:28:43.270,95.866,2
Feb 08 09:28:43.304,95.858,1
Feb 08 09:28:43.337,95.864,3
Feb 08 09:28:43.370,95.873,0
Feb 08 09:28:43.403,95.878,0
Feb 08 09:28:43.436,95.859,2
Feb 08 09:28:43.469,95.847,1
Feb 08 09:28:43.502,95.839,1
Feb 08 09:28:43.535,95.835,1
Feb 08 09:28:43.568,95.830,1
Feb 08 09:28:43.602,95.818,1
Feb 08 09:28:43.635,95.823,3
Feb 08 09:28:43.669,95.844,0
Feb 08 09:28:43.703,95.887,0
Feb 08 09:28:43.738,95.934,0
Feb 08 09:28:43.772,95.949,0
Feb 08 09:28:43.805,95.959,0
Feb 08 09:28:43.838,95.955,2
Feb 08 09:28:43.871,95.935,1
Feb 08 09:28:43.904,95.933,1
Feb 08 09:28:43.937,95.936,3
Feb 08 09:28:43.970,95.952,0
Feb 08 09:28:44.004,95.957,0
Feb 08 09:28:44.037,95.962,0
Feb 08 09:28:44.070,95.979,0
Feb 08 09:28:44.103,95.987,0
Feb 08 09:28:44.136,95.987,0
Feb 08 09:28:44.170,96.004,0
Feb 08 09:28:44.203,96.010,0
Feb 08 09:28:44.236,96.008,2
Feb 08 09:28:44.269,96.019,3
Feb 08 09:28:44.302,96.068,0
Feb 08 09:28:44.335,96.074,0
Feb 08 09:28:44.369,96.032,2
Feb 08 09:28:44.402,96.021,1
Feb 08 09:28:44.435,96.028,3
Feb 08 09:28:44.469,96.007,2
Feb 08 09:28:44.504,95.974,1
Feb 08 09:28:44.538,95.953,1
