Time,Camera,State
Feb 09 08:33:59.978,93.626,0
Feb 09 08:34:00.016,92.128,2
Feb 09 08:34:00.051,82.003,1
Feb 09 08:34:00.086,83.030,3
Feb 09 08:34:00.122,83.536,0
Feb 09 08:34:00.159,83.954,0
Feb 09 08:34:00.194,84.311,0
Feb 09 08:34:00.231,84.646,0
Feb 09 08:34:00.267,84.727,0
Feb 09 08:34:00.307,85.003,0
Feb 09 08:34:00.343,85.019,0
Feb 09 08:34:00.380,85.286,0
Feb 09 08:34:00.416,85.628,0
Feb 09 08:34:00.453,85.606,2
Feb 09 08:34:00.491,85.658,3
Feb 09 08:34:00.528,85.220,2
Feb 09 08:34:00.564,85.036,1
Feb 09 08:34:00.602,85.159,3
Feb 09 08:34:00.640,85.384,0
Feb 09 08:34:00.678,85.576,0
Feb 09 08:34:00.714,85.929,0
Feb 09 08:34:00.751,86.224,0
Feb 09 08:34:00.789,86.478,0
Feb 09 08:34:00.826,86.735,0
Feb 09 08:34:00.861,86.547,2
Feb 09 08:34:00.897,85.955,1
Feb 09 08:34:00.934,86.127,3
Feb 09 08:34:00.971,86.188,0
Feb 09 08:34:01.011,86.150,2
Feb 09 08:34:01.048,86.018,1
Feb 09 08:34:01.085,85.953,1
Feb 09 08:34:01.121,85.926,1
Feb 09 08:34:01.157,85.855,1
Feb 09 08:34:01.194,85.828,1
Feb 09 08:34:01.230,85.830,3
Feb 09 08:34:01.267,85.857,0
Feb 09 08:34:01.303,85.865,0
Feb 09 08:34:01.339,85.851,2
Feb 09 08:34:01.377,85.818,1
Feb 09 08:34:01.414,85.752,1
Feb 09 08:34:01.451,85.713,1
Feb 09 08:34:01.487,85.635,1
Feb 09 08:34:01.523,85.527,1
Feb 09 08:34:01.559,85.472,1
Feb 09 08:34:01.594,85.407,1
Feb 09 08:34:01.631,85.314,1
Feb 09 08:34:01.667,85.194,1
Feb 09 08:34:01.703,85.139,1
Feb 09 08:34:01.741,85.087,1
Feb 09 08:34:01.777,85.062,1
Feb 09 08:34:01.814,85.034,1
Feb 09 08:34:01.849,85.043,3
Feb 09 08:34:01.886,84.674,2
Feb 09 08:34:01.922,84.057,1
Feb 09 08:34:01.958,83.777,1
Feb 09 08:34:01.993,83.806,3
Feb 09 08:34:02.029,83.911,0
Feb 09 08:34:02.065,84.013,0
Feb 09 08:34:02.101,84.073,0
Feb 09 08:34:02.137,84.195,0
Feb 09 08:34:02.173,84.352,0
Feb 09 08:34:02.210,84.472,0
Feb 09 08:34:02.245,84.543,0
Feb 09 08:34:02.281,84.565,0
Feb 09 08:34:02.318,84.680,0
Feb 09 08:34:02.353,84.752,0
Feb 09 08:34:02.390,84.793,0
Feb 09 08:34:02.426,84.851,0
Feb 09 08:34:02.462,84.936,0
Feb 09 08:34:02.498,84.961,0
Feb 09 08:34:02.534,84.985,0
Feb 09 08:34:02.570,84.947,2
Feb 09 08:34:02.605,84.952,3
Feb 09 08:34:02.640,84.967,0
Feb 09 08:34:02.676,85.016,0
Feb 09 08:34:02.712,84.995,2
Feb 09 08:34:02.747,84.981,1
Feb 09 08:34:02.783,84.979,1
Feb 09 08:34:02.818,84.974,1
Feb 09 08:34:02.853,84.984,3
Feb 09 08:34:02.889,84.966,2
Feb 09 08:34:02.924,84.988,3
Feb 09 08:34:02.960,84.985,2
Feb 09 08:34:02.995,84.983,1
Feb 09 08:34:03.039,85.011,3
Feb 09 08:34:03.077,85.024,0
Feb 09 08:34:03.112,83.994,2
Feb 09 08:34:03.148,83.870,1
Feb 09 08:34:03.185,83.938,3
Feb 09 08:34:03.221,84.037,0
Feb 09 08:34:03.257,84.135,0
Feb 09 08:34:03.293,84.176,0
Feb 09 08:34:03.329,84.261,0
Feb 09 08:34:03.365,84.318,0
Feb 09 08:34:03.402,84.372,0
Feb 09 08:34:03.439,84.420,0
Feb 09 08:34:03.475,84.428,0
Feb 09 08:34:03.510,84.418,2
Feb 09 08:34:03.546,84.457,3
Feb 09 08:34:03.581,84.477,0
Feb 09 08:34:03.616,84.488,0
Feb 09 08:34:03.651,84.520,0
Feb 09 08:34:03.687,84.500,2
Feb 09 08:34:03.722,84.510,3
Feb 09 08:34:03.758,84.502,2
Feb 09 08:34:03.792,84.472,1
Feb 09 08:34:03.827,84.487,3
Feb 09 08:34:03.863,84.497,0
Feb 09 08:34:03.897,84.532,0
Feb 09 08:34:03.932,84.552,0
Feb 09 08:34:03.968,84.578,0
Feb 09 08:34:04.002,84.598,0
Feb 09 08:34:04.037,84.588,2
