Time,Camera,State
Feb 25 05:30:47.199,69.380,0
Feb 25 05:30:47.236,68.275,2
Feb 25 05:30:47.272,86.377,3
Feb 25 05:30:47.307,79.038,2
Feb 25 05:30:47.343,79.870,3
Feb 25 05:30:47.377,79.994,0
Feb 25 05:30:47.412,80.114,0
Feb 25 05:30:47.447,80.217,0
Feb 25 05:30:47.482,80.244,0
Feb 25 05:30:47.519,80.251,0
Feb 25 05:30:47.554,80.225,2
Feb 25 05:30:47.589,80.171,1
Feb 25 05:30:47.625,80.031,1
Feb 25 05:30:47.660,80.178,3
Feb 25 05:30:47.695,80.282,0
Feb 25 05:30:47.730,80.367,0
Feb 25 05:30:47.765,80.457,0
Feb 25 05:30:47.800,80.565,0
Feb 25 05:30:47.834,80.608,0
Feb 25 05:30:47.870,80.690,0
Feb 25 05:30:47.908,80.764,0
Feb 25 05:30:47.944,80.836,0
Feb 25 05:30:47.981,80.790,2
Feb 25 05:30:48.016,80.547,1
Feb 25 05:30:48.053,80.508,1
Feb 25 05:30:48.088,80.491,1
Feb 25 05:30:48.123,80.489,1
Feb 25 05:30:48.158,80.487,1
Feb 25 05:30:48.193,80.496,3
Feb 25 05:30:48.228,80.511,0
Feb 25 05:30:48.263,80.523,0
Feb 25 05:30:48.298,80.529,0
Feb 25 05:30:48.332,80.535,0
Feb 25 05:30:48.367,80.542,0
Feb 25 05:30:48.403,80.553,0
Feb 25 05:30:48.441,80.567,0
Feb 25 05:30:48.475,80.586,0
Feb 25 05:30:48.510,80.595,0
Feb 25 05:30:48.545,80.608,0
Feb 25 05:30:48.580,80.624,0
Feb 25 05:30:48.617,80.639,0
Feb 25 05:30:48.653,80.656,0
Feb 25 05:30:48.688,80.663,0
Feb 25 05:30:48.723,80.679,0
Feb 25 05:30:48.758,80.694,0
Feb 25 05:30:48.793,80.690,2
Feb 25 05:30:48.828,80.623,1
Feb 25 05:30:48.863,80.531,1
Feb 25 05:30:48.898,80.467,1
Feb 25 05:30:48.934,80.439,1
Feb 25 05:30:48.969,80.416,1
Feb 25 05:30:49.005,80.394,1
Feb 25 05:30:49.040,80.384,1
Feb 25 05:30:49.075,80.386,3
Feb 25 05:30:49.110,80.385,2
Feb 25 05:30:49.145,80.381,1
Feb 25 05:30:49.181,80.380,1
Feb 25 05:30:49.217,80.378,1
Feb 25 05:30:49.253,80.387,3
Feb 25 05:30:49.289,80.394,0
Feb 25 05:30:49.324,80.405,0
Feb 25 05:30:49.358,80.413,0
Feb 25 05:30:49.394,80.424,0
Feb 25 05:30:49.429,80.445,0
Feb 25 05:30:49.464,80.463,0
Feb 25 05:30:49.500,80.472,0
Feb 25 05:30:49.535,80.490,0
Feb 25 05:30:49.570,80.496,0
Feb 25 05:30:49.605,80.513,0
Feb 25 05:30:49.641,80.533,0
Feb 25 05:30:49.675,80.548,0
Feb 25 05:30:49.711,80.528,2
Feb 25 05:30:49.746,80.431,1
Feb 25 05:30:49.781,80.269,1
Feb 25 05:30:49.816,80.243,1
Feb 25 05:30:49.851,80.231,1
Feb 25 05:30:49.886,80.224,1
Feb 25 05:30:49.921,80.216,1
Feb 25 05:30:49.958,80.222,3
Feb 25 05:30:49.994,80.225,0
Feb 25 05:30:50.028,80.245,0
Feb 25 05:30:50.064,80.299,0
Feb 25 05:30:50.100,80.317,0
Feb 25 05:30:50.135,80.388,0
Feb 25 05:30:50.171,80.426,0
Feb 25 05:30:50.206,80.487,0
Feb 25 05:30:50.249,80.571,0
Feb 25 05:30:50.286,80.602,0
Feb 25 05:30:50.321,80.631,0
Feb 25 05:30:50.356,80.665,0
Feb 25 05:30:50.391,80.687,0
Feb 25 05:30:50.426,80.698,0
Feb 25 05:30:50.461,80.711,0
Feb 25 05:30:50.496,80.732,0
Feb 25 05:30:50.531,80.758,0
Feb 25 05:30:50.565,80.786,0
Feb 25 05:30:50.600,80.828,0
Feb 25 05:30:50.635,80.857,0
Feb 25 05:30:50.669,80.792,2
Feb 25 05:30:50.704,80.635,1
Feb 25 05:30:50.739,80.500,1
Feb 25 05:30:50.774,80.429,1
Feb 25 05:30:50.809,80.400,1
Feb 25 05:30:50.843,80.380,1
Feb 25 05:30:50.878,80.367,1
Feb 25 05:30:50.914,80.372,3
Feb 25 05:30:50.949,80.407,0
Feb 25 05:30:50.984,80.409,0
Feb 25 05:30:51.018,80.417,0
Feb 25 05:30:51.054,80.427,0
Feb 25 05:30:51.089,80.445,0
Feb 25 05:30:51.124,80.470,0
Feb 25 05:30:51.158,80.495,0
Feb 25 05:30:51.193,80.524,0
Feb 25 05:30:51.228,80.563,0
Feb 25 05:30:51.263,80.585,0
Feb 25 05:30:51.297,80.615,0
Feb 25 05:30:51.332,80.645,0
Feb 25 05:30:51.367,80.673,0
Feb 25 05:30:51.402,80.710,0
Feb 25 05:30:51.438,80.747,0
Feb 25 05:30:51.473,80.772,0
Feb 25 05:30:51.507,80.813,0
Feb 25 05:30:51.543,80.854,0
Feb 25 05:30:51.579,80.888,0
Feb 25 05:30:51.614,80.921,0
Feb 25 05:30:51.649,80.741,2
Feb 25 05:30:51.685,80.605,1
Feb 25 05:30:51.722,80.527,1
Feb 25 05:30:51.757,80.501,1
Feb 25 05:30:51.792,80.503,3
Feb 25 05:30:51.826,80.496,2
Feb 25 05:30:51.861,80.516,3
Feb 25 05:30:51.897,80.542,0
Feb 25 05:30:51.933,80.557,0
Feb 25 05:30:51.968,80.569,0
Feb 25 05:30:52.003,80.580,0
Feb 25 05:30:52.038,80.600,0
Feb 25 05:30:52.073,80.637,0
Feb 25 05:30:52.109,80.675,0
Feb 25 05:30:52.145,80.708,0
Feb 25 05:30:52.180,80.749,0
Feb 25 05:30:52.215,80.781,0
Feb 25 05:30:52.250,80.853,0
Feb 25 05:30:52.285,80.882,0
Feb 25 05:30:52.319,80.924,0
Feb 25 05:30:52.354,80.965,0
Feb 25 05:30:52.390,81.010,0
Feb 25 05:30:52.425,81.069,0
Feb 25 05:30:52.461,81.130,0
Feb 25 05:30:52.495,81.194,0
Feb 25 05:30:52.531,81.246,0
Feb 25 05:30:52.565,81.162,2
Feb 25 05:30:52.600,80.970,1
Feb 25 05:30:52.635,80.806,1
Feb 25 05:30:52.671,80.728,1
Feb 25 05:30:52.706,80.700,1
Feb 25 05:30:52.741,80.688,1
Feb 25 05:30:52.776,80.683,1
Feb 25 05:30:52.811,80.711,3
Feb 25 05:30:52.846,80.751,0
Feb 25 05:30:52.881,80.766,0
Feb 25 05:30:52.917,80.776,0
Feb 25 05:30:52.952,80.813,0
Feb 25 05:30:52.987,80.851,0
Feb 25 05:30:53.022,80.897,0
Feb 25 05:30:53.058,80.936,0
Feb 25 05:30:53.093,80.977,0
Feb 25 05:30:53.128,81.027,0
Feb 25 05:30:53.163,81.057,0
Feb 25 05:30:53.198,81.101,0
Feb 25 05:30:53.233,81.152,0
Feb 25 05:30:53.269,81.203,0
Feb 25 05:30:53.311,81.265,0
Feb 25 05:30:53.346,81.343,0
Feb 25 05:30:53.380,81.427,0
Feb 25 05:30:53.415,81.511,0
Feb 25 05:30:53.450,81.606,0
Feb 25 05:30:53.485,81.766,0
Feb 25 05:30:53.519,81.691,2
Feb 25 05:30:53.555,81.364,1
Feb 25 05:30:53.589,81.067,1
Feb 25 05:30:53.624,80.924,1
Feb 25 05:30:53.660,80.867,1
Feb 25 05:30:53.694,80.843,1
Feb 25 05:30:53.728,80.829,1
Feb 25 05:30:53.763,80.834,3
Feb 25 05:30:53.798,80.876,0
Feb 25 05:30:53.833,80.916,0
Feb 25 05:30:53.868,80.931,0
Feb 25 05:30:53.903,80.945,0
Feb 25 05:30:53.939,80.965,0
Feb 25 05:30:53.974,81.000,0
Feb 25 05:30:54.010,81.052,0
Feb 25 05:30:54.045,81.117,0
Feb 25 05:30:54.080,81.164,0
Feb 25 05:30:54.115,81.220,0
Feb 25 05:30:54.151,81.269,0
Feb 25 05:30:54.186,81.376,0
Feb 25 05:30:54.223,81.433,0
Feb 25 05:30:54.259,81.484,0
Feb 25 05:30:54.293,81.537,0
Feb 25 05:30:54.327,81.589,0
Feb 25 05:30:54.363,81.653,0
Feb 25 05:30:54.398,81.724,0
Feb 25 05:30:54.433,81.814,0
Feb 25 05:30:54.468,81.899,0
Feb 25 05:30:54.503,82.002,0
Feb 25 05:30:54.539,82.077,0
Feb 25 05:30:54.574,81.928,2
Feb 25 05:30:54.609,81.535,1
Feb 25 05:30:54.644,81.239,1
Feb 25 05:30:54.680,81.113,1
Feb 25 05:30:54.715,81.079,1
Feb 25 05:30:54.750,81.066,1
Feb 25 05:30:54.785,81.093,3
Feb 25 05:30:54.820,81.141,0
Feb 25 05:30:54.856,81.164,0
Feb 25 05:30:54.891,81.186,0
Feb 25 05:30:54.926,81.195,0
Feb 25 05:30:54.962,81.229,0
Feb 25 05:30:54.997,81.268,0
Feb 25 05:30:55.032,81.320,0
Feb 25 05:30:55.068,81.374,0
Feb 25 05:30:55.106,81.437,0
Feb 25 05:30:55.145,81.499,0
Feb 25 05:30:55.187,81.545,0
Feb 25 05:30:55.224,81.656,0
Feb 25 05:30:55.261,81.719,0
Feb 25 05:30:55.296,81.796,0
Feb 25 05:30:55.331,81.869,0
Feb 25 05:30:55.366,81.944,0
Feb 25 05:30:55.401,82.023,0
Feb 25 05:30:55.437,82.105,0
Feb 25 05:30:55.472,82.189,0
Feb 25 05:30:55.508,82.281,0
Feb 25 05:30:55.543,82.380,0
Feb 25 05:30:55.578,82.296,2
Feb 25 05:30:55.614,81.906,1
Feb 25 05:30:55.650,81.548,1
Feb 25 05:30:55.685,81.390,1
Feb 25 05:30:55.721,81.349,1
Feb 25 05:30:55.756,81.376,3
Feb 25 05:30:55.791,81.411,0
Feb 25 05:30:55.826,81.455,0
Feb 25 05:30:55.861,81.476,0
Feb 25 05:30:55.896,81.489,0
Feb 25 05:30:55.932,81.500,0
Feb 25 05:30:55.967,81.538,0
Feb 25 05:30:56.002,81.583,0
Feb 25 05:30:56.038,81.654,0
Feb 25 05:30:56.074,81.715,0
Feb 25 05:30:56.109,81.774,0
Feb 25 05:30:56.144,81.817,0
Feb 25 05:30:56.180,81.872,0
Feb 25 05:30:56.215,81.924,0
Feb 25 05:30:56.250,81.982,0
Feb 25 05:30:56.285,82.045,0
Feb 25 05:30:56.320,82.183,0
Feb 25 05:30:56.362,82.270,0
Feb 25 05:30:56.397,82.355,0
Feb 25 05:30:56.431,82.455,0
Feb 25 05:30:56.466,82.547,0
Feb 25 05:30:56.501,82.667,0
Feb 25 05:30:56.535,82.798,0
Feb 25 05:30:56.570,82.902,0
Feb 25 05:30:56.605,82.770,2
Feb 25 05:30:56.640,82.236,1
Feb 25 05:30:56.674,81.782,1
Feb 25 05:30:56.709,81.590,1
Feb 25 05:30:56.748,81.525,1
Feb 25 05:30:56.782,81.513,1
