Time,Camera,State
2月 09 07:40:18.709,67.102,0
2月 09 07:40:18.741,66.794,2
2月 09 07:40:18.771,97.544,3
2月 09 07:40:18.801,92.755,2
2月 09 07:40:18.831,99.115,3
2月 09 07:40:18.860,97.607,2
2月 09 07:40:18.888,95.808,1
2月 09 07:40:18.922,93.807,1
2月 09 07:40:18.956,92.332,1
2月 09 07:40:18.989,92.085,1
2月 09 07:40:19.024,91.540,1
2月 09 07:40:19.057,91.191,1
2月 09 07:40:19.089,90.869,1
2月 09 07:40:19.123,90.614,1
2月 09 07:40:19.157,90.515,1
2月 09 07:40:19.189,90.244,1
2月 09 07:40:19.223,89.894,1
2月 09 07:40:19.257,89.634,1
2月 09 07:40:19.290,89.304,1
2月 09 07:40:19.327,88.999,1
2月 09 07:40:19.357,88.667,1
2月 09 07:40:19.391,88.273,1
2月 09 07:40:19.424,88.016,1
2月 09 07:40:19.457,87.743,1
2月 09 07:40:19.489,87.457,1
2月 09 07:40:19.524,87.216,1
2月 09 07:40:19.557,87.044,1
2月 09 07:40:19.591,86.761,1
2月 09 07:40:19.624,86.919,3
2月 09 07:40:19.657,86.973,0
2月 09 07:40:19.689,87.102,0
2月 09 07:40:19.723,87.135,0
2月 09 07:40:19.756,87.207,0
2月 09 07:40:19.788,87.286,0
2月 09 07:40:19.823,87.072,2
2月 09 07:40:19.856,86.894,1
2月 09 07:40:19.888,86.924,3
2月 09 07:40:19.922,86.899,2
2月 09 07:40:19.955,86.867,1
2月 09 07:40:19.988,86.956,3
2月 09 07:40:20.022,86.918,2
2月 09 07:40:20.055,87.063,3
2月 09 07:40:20.089,87.105,0
2月 09 07:40:20.122,87.182,0
2月 09 07:40:20.155,87.131,2
2月 09 07:40:20.189,87.163,3
2月 09 07:40:20.222,87.135,2
2月 09 07:40:20.255,87.234,3
2月 09 07:40:20.289,87.328,0
2月 09 07:40:20.322,87.457,0
2月 09 07:40:20.355,87.418,2
2月 09 07:40:20.389,87.549,3
2月 09 07:40:20.422,87.535,2
2月 09 07:40:20.455,87.605,3
2月 09 07:40:20.488,87.620,0
2月 09 07:40:20.521,87.573,2
