Time,Camera,State
2月 09 07:56:51.280,161.114,0
2月 09 07:56:51.340,178.873,0
2月 09 07:56:51.400,181.782,0
2月 09 07:56:51.457,169.836,2
2月 09 07:56:51.516,147.726,1
2月 09 07:56:51.573,92.603,1
2月 09 07:56:51.630,55.696,1
2月 09 07:56:51.688,42.555,1
2月 09 07:56:51.745,65.565,3
2月 09 07:56:51.802,106.064,0
2月 09 07:56:51.860,140.677,0
2月 09 07:56:51.918,121.626,2
2月 09 07:56:51.976,28.122,1
2月 09 07:56:52.035,18.766,1
2月 09 07:56:52.091,55.029,3
2月 09 07:56:52.148,76.295,0
2月 09 07:56:52.211,50.253,2
2月 09 07:56:52.273,48.468,1
2月 09 07:56:52.333,52.032,3
2月 09 07:56:52.394,64.064,0
2月 09 07:56:52.454,67.059,0
2月 09 07:56:52.515,69.191,0
2月 09 07:56:52.576,71.380,0
2月 09 07:56:52.636,71.417,0
2月 09 07:56:52.696,70.990,2
2月 09 07:56:52.756,71.191,3
2月 09 07:56:52.816,70.866,2
2月 09 07:56:52.881,68.309,1
2月 09 07:56:52.943,68.527,3
2月 09 07:56:53.006,69.189,0
2月 09 07:56:53.068,69.224,0
2月 09 07:56:53.133,68.967,2
2月 09 07:56:53.197,69.397,3
2月 09 07:56:53.259,73.562,0
2月 09 07:56:53.328,75.470,0
2月 09 07:56:53.391,75.979,0
2月 09 07:56:53.452,75.139,2
2月 09 07:56:53.512,73.935,1
2月 09 07:56:53.572,73.756,1
2月 09 07:56:53.637,74.066,3
2月 09 07:56:53.701,75.194,0
2月 09 07:56:53.761,75.911,0
2月 09 07:56:53.821,76.090,0
2月 09 07:56:53.882,74.543,2
2月 09 07:56:53.942,72.852,1
2月 09 07:56:54.004,72.347,1
2月 09 07:56:54.064,72.268,1
2月 09 07:56:54.124,72.062,1
2月 09 07:56:54.185,71.829,1
2月 09 07:56:54.245,71.520,1
2月 09 07:56:54.304,71.427,1
2月 09 07:56:54.375,71.693,3
2月 09 07:56:54.435,72.047,0
2月 09 07:56:54.495,72.331,0
2月 09 07:56:54.556,72.494,0
2月 09 07:56:54.618,72.940,0
2月 09 07:56:54.680,73.732,0
2月 09 07:56:54.740,74.097,0
2月 09 07:56:54.798,74.527,0
2月 09 07:56:54.857,74.352,2
2月 09 07:56:54.918,73.895,1
2月 09 07:56:54.980,73.952,3
2月 09 07:56:55.042,75.596,0
2月 09 07:56:55.102,77.253,0
2月 09 07:56:55.163,78.198,0
2月 09 07:56:55.223,78.198,2
2月 09 07:56:55.283,78.109,1
2月 09 07:56:55.344,75.338,1
2月 09 07:56:55.402,71.997,1
2月 09 07:56:55.462,71.491,1
2月 09 07:56:55.522,71.147,1
2月 09 07:56:55.582,71.134,1
2月 09 07:56:55.643,72.612,3
2月 09 07:56:55.703,73.783,0
2月 09 07:56:55.765,74.107,0
2月 09 07:56:55.835,73.961,2
2月 09 07:56:55.897,72.782,1
2月 09 07:56:55.956,73.048,3
2月 09 07:56:56.017,73.094,0
2月 09 07:56:56.077,73.465,0
2月 09 07:56:56.138,73.771,0
2月 09 07:56:56.199,73.692,2
2月 09 07:56:56.259,73.914,3
2月 09 07:56:56.319,73.960,0
2月 09 07:56:56.380,74.190,0
2月 09 07:56:56.440,74.417,0
2月 09 07:56:56.499,74.785,0
2月 09 07:56:56.558,75.414,0
2月 09 07:56:56.619,75.936,0
2月 09 07:56:56.681,76.774,0
2月 09 07:56:56.742,77.674,0
2月 09 07:56:56.801,78.107,0
2月 09 07:56:56.859,76.559,2
2月 09 07:56:56.919,75.715,1
2月 09 07:56:56.982,74.891,1
2月 09 07:56:57.041,74.580,1
2月 09 07:56:57.101,74.749,3
2月 09 07:56:57.161,74.620,2
2月 09 07:56:57.221,74.564,1
2月 09 07:56:57.282,74.727,3
2月 09 07:56:57.342,74.906,0
2月 09 07:56:57.401,75.147,0
2月 09 07:56:57.466,75.454,0
2月 09 07:56:57.526,75.628,0
2月 09 07:56:57.585,75.767,0
2月 09 07:56:57.645,76.087,0
2月 09 07:56:57.704,76.204,0
