Time,Camera,State
Feb 22 12:05:40.668,96.450,0
Feb 22 12:05:40.738,99.191,0
Feb 22 12:05:40.810,101.247,0
Feb 22 12:05:40.875,99.866,2
Feb 22 12:05:40.947,100.561,3
Feb 22 12:05:41.015,101.877,0
Feb 22 12:05:41.103,103.672,0
Feb 22 12:05:41.165,104.626,0
Feb 22 12:05:41.229,105.806,0
Feb 22 12:05:41.292,106.315,0
Feb 22 12:05:41.354,131.765,0
Feb 22 12:05:41.418,127.526,2
Feb 22 12:05:41.480,126.800,1
Feb 22 12:05:41.548,126.356,1
Feb 22 12:05:41.614,125.874,1
Feb 22 12:05:41.677,125.496,1
Feb 22 12:05:41.741,125.382,1
Feb 22 12:05:41.809,125.185,1
Feb 22 12:05:41.881,125.026,1
Feb 22 12:05:41.947,124.647,1
Feb 22 12:05:42.015,124.379,1
Feb 22 12:05:42.080,124.423,3
Feb 22 12:05:42.146,124.275,2
Feb 22 12:05:42.207,124.592,3
Feb 22 12:05:42.272,125.266,0
Feb 22 12:05:42.344,125.331,0
Feb 22 12:05:42.415,125.760,0
Feb 22 12:05:42.479,125.791,0
Feb 22 12:05:42.540,125.593,2
Feb 22 12:05:42.609,125.423,1
Feb 22 12:05:42.674,125.497,3
Feb 22 12:05:42.742,132.440,0
Feb 22 12:05:42.806,169.474,0
Feb 22 12:05:42.884,184.203,0
Feb 22 12:05:42.949,243.055,0
Feb 22 12:05:43.013,223.220,2
Feb 22 12:05:43.074,77.230,1
Feb 22 12:05:43.141,77.474,3
Feb 22 12:05:43.207,77.755,0
Feb 22 12:05:43.271,77.877,0
Feb 22 12:05:43.339,77.817,2
Feb 22 12:05:43.405,77.874,3
Feb 22 12:05:43.472,78.537,0
Feb 22 12:05:43.536,78.515,2
Feb 22 12:05:43.601,78.552,3
Feb 22 12:05:43.664,78.525,2
Feb 22 12:05:43.729,78.225,1
Feb 22 12:05:43.804,78.094,1
Feb 22 12:05:43.875,78.391,3
Feb 22 12:05:43.941,78.861,0
Feb 22 12:05:44.004,79.367,0
Feb 22 12:05:44.069,79.869,0
