Time,Camera,State
Feb 22 12:05:00.646,0.000,0
Feb 22 12:05:00.717,0.000,0
Feb 22 12:05:00.787,0.000,0
Feb 22 12:05:00.857,0.000,0
Feb 22 12:05:00.924,0.000,0
Feb 22 12:05:00.990,0.000,0
Feb 22 12:05:01.053,0.000,0
Feb 22 12:05:01.122,0.000,0
Feb 22 12:05:01.188,0.000,0
Feb 22 12:05:01.254,0.000,0
Feb 22 12:05:01.318,0.000,0
Feb 22 12:05:01.379,0.000,0
Feb 22 12:05:01.447,0.000,0
Feb 22 12:05:01.538,0.000,0
Feb 22 12:05:01.603,77.342,0
Feb 22 12:05:01.677,77.339,2
Feb 22 12:05:01.748,76.775,1
Feb 22 12:05:01.816,76.052,1
Feb 22 12:05:01.885,75.523,1
Feb 22 12:05:01.966,75.195,1
Feb 22 12:05:02.045,74.812,1
Feb 22 12:05:02.110,74.480,1
Feb 22 12:05:02.175,74.268,1
Feb 22 12:05:02.239,74.185,1
Feb 22 12:05:02.304,73.754,1
Feb 22 12:05:02.369,72.455,1
Feb 22 12:05:02.433,72.239,1
Feb 22 12:05:02.498,72.411,3
Feb 22 12:05:02.563,72.534,0
Feb 22 12:05:02.628,72.465,2
Feb 22 12:05:02.692,72.261,1
Feb 22 12:05:02.757,72.261,1
Feb 22 12:05:02.821,72.406,3
Feb 22 12:05:02.885,72.664,0
Feb 22 12:05:02.949,72.876,0
Feb 22 12:05:03.014,72.967,0
Feb 22 12:05:03.080,73.024,0
Feb 22 12:05:03.143,73.123,0
Feb 22 12:05:03.210,73.286,0
Feb 22 12:05:03.274,73.069,2
Feb 22 12:05:03.338,71.849,1
Feb 22 12:05:03.402,71.674,1
Feb 22 12:05:03.469,71.905,3
Feb 22 12:05:03.534,72.073,0
Feb 22 12:05:03.598,72.032,2
Feb 22 12:05:03.664,71.809,1
Feb 22 12:05:03.734,71.888,3
Feb 22 12:05:03.798,72.129,0
Feb 22 12:05:03.864,72.354,0
Feb 22 12:05:03.928,72.515,0
Feb 22 12:05:03.991,72.539,0
Feb 22 12:05:04.054,72.554,0
Feb 22 12:05:04.118,72.571,0
Feb 22 12:05:04.182,72.720,0
Feb 22 12:05:04.246,72.519,2
Feb 22 12:05:04.309,71.157,1
Feb 22 12:05:04.373,71.094,1
Feb 22 12:05:04.437,71.507,3
Feb 22 12:05:04.501,71.895,0
Feb 22 12:05:04.564,71.779,2
Feb 22 12:05:04.628,71.497,1
Feb 22 12:05:04.692,71.673,3
