Time,Camera,State
Feb 08 09:16:47.152,75.078,0
Feb 08 09:16:47.190,91.000,0
Feb 08 09:16:47.225,97.170,0
Feb 08 09:16:47.260,79.791,2
Feb 08 09:16:47.295,80.226,3
Feb 08 09:16:47.330,80.211,2
Feb 08 09:16:47.365,80.378,3
Feb 08 09:16:47.402,80.432,0
Feb 08 09:16:47.436,80.497,0
Feb 08 09:16:47.470,80.495,2
Feb 08 09:16:47.505,80.364,1
Feb 08 09:16:47.540,80.320,1
Feb 08 09:16:47.575,80.380,3
Feb 08 09:16:47.609,80.690,0
Feb 08 09:16:47.645,80.876,0
Feb 08 09:16:47.679,81.098,0
Feb 08 09:16:47.713,81.420,0
Feb 08 09:16:47.748,81.772,0
Feb 08 09:16:47.782,82.079,0
Feb 08 09:16:47.817,82.374,0
Feb 08 09:16:47.851,82.286,2
Feb 08 09:16:47.885,82.142,1
Feb 08 09:16:47.920,82.242,3
Feb 08 09:16:47.956,82.364,0
Feb 08 09:16:47.990,82.551,0
Feb 08 09:16:48.025,82.594,0
Feb 08 09:16:48.060,82.548,2
Feb 08 09:16:48.095,82.607,3
Feb 08 09:16:48.130,82.618,0
Feb 08 09:16:48.166,82.549,2
Feb 08 09:16:48.201,82.271,1
Feb 08 09:16:48.236,82.205,1
Feb 08 09:16:48.272,82.172,1
Feb 08 09:16:48.307,82.164,1
Feb 08 09:16:48.343,82.170,3
Feb 08 09:16:48.378,82.185,0
Feb 08 09:16:48.413,82.182,2
Feb 08 09:16:48.448,82.246,3
Feb 08 09:16:48.483,82.281,0
Feb 08 09:16:48.518,82.362,0
Feb 08 09:16:48.553,82.428,0
Feb 08 09:16:48.589,82.400,2
Feb 08 09:16:48.623,82.450,3
Feb 08 09:16:48.658,82.538,0
Feb 08 09:16:48.693,82.602,0
Feb 08 09:16:48.729,82.736,0
Feb 08 09:16:48.763,82.930,0
Feb 08 09:16:48.799,83.025,0
Feb 08 09:16:48.834,82.148,2
Feb 08 09:16:48.869,81.515,1
Feb 08 09:16:48.905,81.321,1
Feb 08 09:16:48.941,81.307,1
Feb 08 09:16:48.976,81.357,3
Feb 08 09:16:49.011,81.366,0
Feb 08 09:16:49.047,81.289,2
Feb 08 09:16:49.082,81.339,3
Feb 08 09:16:49.119,81.628,0
Feb 08 09:16:49.154,81.766,0
Feb 08 09:16:49.191,81.790,0
Feb 08 09:16:49.227,81.885,0
Feb 08 09:16:49.262,82.136,0
Feb 08 09:16:49.298,82.346,0
Feb 08 09:16:49.339,82.584,0
Feb 08 09:16:49.376,82.786,0
Feb 08 09:16:49.417,82.744,2
