Time,Camera,State
Feb 25 05:39:50.632,70.450,0
Feb 25 05:39:50.668,69.557,2
Feb 25 05:39:50.702,88.146,3
Feb 25 05:39:50.739,78.349,2
Feb 25 05:39:50.773,79.196,3
Feb 25 05:39:50.808,79.539,0
Feb 25 05:39:50.843,79.650,0
Feb 25 05:39:50.877,79.839,0
Feb 25 05:39:50.912,79.916,0
Feb 25 05:39:50.946,79.961,0
Feb 25 05:39:50.981,79.985,0
Feb 25 05:39:51.015,79.959,2
Feb 25 05:39:51.050,79.906,1
Feb 25 05:39:51.085,79.900,1
Feb 25 05:39:51.119,80.132,3
Feb 25 05:39:51.154,80.352,0
Feb 25 05:39:51.188,80.521,0
Feb 25 05:39:51.224,80.764,0
Feb 25 05:39:51.258,80.944,0
Feb 25 05:39:51.293,81.060,0
Feb 25 05:39:51.328,81.059,2
Feb 25 05:39:51.362,80.918,1
Feb 25 05:39:51.397,80.798,1
Feb 25 05:39:51.431,80.842,3
Feb 25 05:39:51.465,80.909,0
Feb 25 05:39:51.500,81.051,0
Feb 25 05:39:51.535,81.157,0
Feb 25 05:39:51.569,81.271,0
Feb 25 05:39:51.604,81.468,0
Feb 25 05:39:51.639,81.474,0
Feb 25 05:39:51.674,81.385,2
Feb 25 05:39:51.708,81.438,3
Feb 25 05:39:51.743,81.514,0
Feb 25 05:39:51.777,81.562,0
Feb 25 05:39:51.812,81.638,0
Feb 25 05:39:51.846,81.691,0
Feb 25 05:39:51.881,81.763,0
Feb 25 05:39:51.915,81.839,0
Feb 25 05:39:51.949,81.920,0
Feb 25 05:39:51.984,81.975,0
Feb 25 05:39:52.018,82.076,0
Feb 25 05:39:52.054,82.008,2
Feb 25 05:39:52.088,81.713,1
Feb 25 05:39:52.123,81.395,1
Feb 25 05:39:52.157,81.206,1
Feb 25 05:39:52.193,81.128,1
Feb 25 05:39:52.227,81.085,1
Feb 25 05:39:52.262,81.081,1
Feb 25 05:39:52.296,81.103,3
Feb 25 05:39:52.330,81.116,0
Feb 25 05:39:52.367,81.109,2
Feb 25 05:39:52.401,81.105,1
Feb 25 05:39:52.435,81.112,3
Feb 25 05:39:52.471,81.153,0
Feb 25 05:39:52.505,81.208,0
Feb 25 05:39:52.540,81.282,0
Feb 25 05:39:52.575,81.344,0
Feb 25 05:39:52.609,81.401,0
Feb 25 05:39:52.643,81.452,0
Feb 25 05:39:52.678,81.512,0
Feb 25 05:39:52.713,81.571,0
Feb 25 05:39:52.747,81.619,0
Feb 25 05:39:52.782,81.463,2
Feb 25 05:39:52.816,81.107,1
Feb 25 05:39:52.851,80.835,1
Feb 25 05:39:52.886,80.649,1
Feb 25 05:39:52.920,80.629,1
Feb 25 05:39:52.955,80.641,3
Feb 25 05:39:52.990,80.674,0
Feb 25 05:39:53.025,80.697,0
Feb 25 05:39:53.059,80.718,0
Feb 25 05:39:53.095,80.732,0
Feb 25 05:39:53.129,80.765,0
Feb 25 05:39:53.164,80.828,0
Feb 25 05:39:53.198,80.900,0
