Time,Camera,State
2月 09 07:31:15.488,1.557,0
2月 09 07:31:15.519,14.854,0
2月 09 07:31:15.546,14.676,2
2月 09 07:31:15.572,60.060,3
2月 09 07:31:15.599,60.125,0
2月 09 07:31:15.630,86.374,0
2月 09 07:31:15.664,83.161,2
2月 09 07:31:15.697,83.516,3
2月 09 07:31:15.730,83.268,2
2月 09 07:31:15.763,82.391,1
2月 09 07:31:15.802,81.718,1
2月 09 07:31:15.836,81.119,1
2月 09 07:31:15.871,80.462,1
2月 09 07:31:15.902,80.055,1
2月 09 07:31:15.936,79.462,1
2月 09 07:31:15.969,78.855,1
2月 09 07:31:16.002,78.322,1
2月 09 07:31:16.035,78.144,1
2月 09 07:31:16.070,77.690,1
2月 09 07:31:16.102,77.264,1
2月 09 07:31:16.137,76.834,1
2月 09 07:31:16.169,76.419,1
2月 09 07:31:16.202,76.032,1
2月 09 07:31:16.236,75.805,1
2月 09 07:31:16.269,75.399,1
2月 09 07:31:16.302,75.052,1
2月 09 07:31:16.336,74.624,1
2月 09 07:31:16.368,74.104,1
2月 09 07:31:16.402,73.786,1
2月 09 07:31:16.437,73.317,1
2月 09 07:31:16.469,72.966,1
2月 09 07:31:16.503,72.551,1
2月 09 07:31:16.536,72.500,1
2月 09 07:31:16.568,72.308,1
2月 09 07:31:16.603,72.276,1
2月 09 07:31:16.635,72.208,1
2月 09 07:31:16.668,72.196,1
2月 09 07:31:16.701,72.165,1
2月 09 07:31:16.736,72.155,1
2月 09 07:31:16.769,72.062,1
2月 09 07:31:16.802,72.037,1
2月 09 07:31:16.836,71.954,1
2月 09 07:31:16.868,71.935,1
2月 09 07:31:16.902,71.926,1
2月 09 07:31:16.936,71.894,1
2月 09 07:31:16.968,71.806,1
2月 09 07:31:17.002,71.793,1
2月 09 07:31:17.036,71.713,1
2月 09 07:31:17.068,71.702,1
2月 09 07:31:17.102,71.731,3
2月 09 07:31:17.135,71.730,2
2月 09 07:31:17.169,71.685,1
2月 09 07:31:17.202,71.657,1
2月 09 07:31:17.235,71.592,1
2月 09 07:31:17.269,71.563,1
2月 09 07:31:17.301,71.537,1
2月 09 07:31:17.336,71.519,1
2月 09 07:31:17.369,71.443,1
2月 09 07:31:17.401,71.418,1
2月 09 07:31:17.435,71.313,1
2月 09 07:31:17.469,71.276,1
2月 09 07:31:17.501,71.304,3
2月 09 07:31:17.536,71.319,0
2月 09 07:31:17.568,71.222,2
2月 09 07:31:17.602,71.234,3
2月 09 07:31:17.637,71.154,2
2月 09 07:31:17.669,71.206,3
2月 09 07:31:17.701,72.023,0
2月 09 07:31:17.735,72.265,0
2月 09 07:31:17.769,72.422,0
2月 09 07:31:17.802,72.480,0
2月 09 07:31:17.835,72.507,0
2月 09 07:31:17.869,72.586,0
2月 09 07:31:17.902,72.522,2
2月 09 07:31:17.935,72.529,3
2月 09 07:31:17.968,72.571,0
2月 09 07:31:18.002,72.532,2
2月 09 07:31:18.035,72.521,1
2月 09 07:31:18.069,72.496,1
2月 09 07:31:18.101,72.530,3
2月 09 07:31:18.135,72.525,2
2月 09 07:31:18.169,72.556,3
2月 09 07:31:18.201,72.561,0
2月 09 07:31:18.235,72.577,0
2月 09 07:31:18.268,72.578,0
2月 09 07:31:18.301,72.665,0
2月 09 07:31:18.336,72.656,2
2月 09 07:31:18.369,72.639,1
2月 09 07:31:18.401,72.644,3
2月 09 07:31:18.434,72.638,2
2月 09 07:31:18.467,72.657,3
2月 09 07:31:18.501,72.655,2
2月 09 07:31:18.535,72.666,3
2月 09 07:31:18.569,72.668,0
2月 09 07:31:18.602,72.652,2
2月 09 07:31:18.635,72.666,3
2月 09 07:31:18.668,72.679,0
2月 09 07:31:18.702,72.671,2
2月 09 07:31:18.734,72.721,3
2月 09 07:31:18.767,72.679,2
2月 09 07:31:18.801,72.707,3
2月 09 07:31:18.836,72.694,2
2月 09 07:31:18.869,72.738,3
2月 09 07:31:18.901,72.759,0
2月 09 07:31:18.935,72.800,0
2月 09 07:31:18.969,72.858,0
2月 09 07:31:19.001,72.852,2
2月 09 07:31:19.034,72.858,3
2月 09 07:31:19.067,72.782,2
2月 09 07:31:19.101,72.770,1
2月 09 07:31:19.135,72.752,1
2月 09 07:31:19.169,72.765,3
2月 09 07:31:19.202,72.768,0
2月 09 07:31:19.234,72.792,0
2月 09 07:31:19.268,72.786,2
2月 09 07:31:19.300,72.795,3
2月 09 07:31:19.334,72.827,0
2月 09 07:31:19.367,72.833,0
2月 09 07:31:19.401,72.844,0
2月 09 07:31:19.435,72.859,0
2月 09 07:31:19.469,72.822,2
2月 09 07:31:19.501,72.819,1
2月 09 07:31:19.536,72.829,3
2月 09 07:31:19.568,72.810,2
2月 09 07:31:19.602,72.806,1
2月 09 07:31:19.636,72.821,3
2月 09 07:31:19.669,72.849,0
2月 09 07:31:19.702,72.888,0
2月 09 07:31:19.736,72.892,0
2月 09 07:31:19.768,72.888,2
2月 09 07:31:19.801,72.933,3
2月 09 07:31:19.836,72.963,0
2月 09 07:31:19.868,72.964,0
2月 09 07:31:19.902,72.993,0
2月 09 07:31:19.935,72.979,2
2月 09 07:31:19.969,72.998,3
2月 09 07:31:20.002,73.040,0
2月 09 07:31:20.035,73.002,2
2月 09 07:31:20.068,73.003,3
2月 09 07:31:20.102,73.029,0
2月 09 07:31:20.136,73.100,0
2月 09 07:31:20.168,73.126,0
2月 09 07:31:20.202,73.104,2
2月 09 07:31:20.235,73.128,3
2月 09 07:31:20.268,73.152,0
2月 09 07:31:20.301,73.168,0
2月 09 07:31:20.335,73.172,0
2月 09 07:31:20.369,73.178,0
2月 09 07:31:20.401,73.196,0
2月 09 07:31:20.434,73.214,0
2月 09 07:31:20.468,73.208,2
2月 09 07:31:20.501,73.216,3
2月 09 07:31:20.536,73.268,0
2月 09 07:31:20.569,73.287,0
2月 09 07:31:20.602,73.253,2
2月 09 07:31:20.637,73.282,3
2月 09 07:31:20.668,73.300,0
2月 09 07:31:20.701,73.271,2
2月 09 07:31:20.734,73.317,3
2月 09 07:31:20.767,73.338,0
2月 09 07:31:20.800,73.372,0
2月 09 07:31:20.834,73.387,0
2月 09 07:31:20.869,73.427,0
2月 09 07:31:20.901,73.457,0
2月 09 07:31:20.934,73.436,2
2月 09 07:31:20.968,73.518,3
2月 09 07:31:21.001,73.556,0
2月 09 07:31:21.035,73.641,0
2月 09 07:31:21.068,73.682,0
2月 09 07:31:21.102,73.729,0
2月 09 07:31:21.135,73.809,0
2月 09 07:31:21.169,73.820,0
2月 09 07:31:21.202,73.896,0
2月 09 07:31:21.235,73.972,0
2月 09 07:31:21.269,74.022,0
2月 09 07:31:21.301,74.067,0
2月 09 07:31:21.335,74.203,0
2月 09 07:31:21.371,74.408,0
2月 09 07:31:21.402,74.656,0
2月 09 07:31:21.436,75.043,0
2月 09 07:31:21.469,75.169,0
2月 09 07:31:21.502,75.153,2
2月 09 07:31:21.536,75.452,3
2月 09 07:31:21.569,75.603,0
2月 09 07:31:21.603,75.686,0
2月 09 07:31:21.634,75.680,2
2月 09 07:31:21.668,75.757,3
2月 09 07:31:21.701,75.843,0
2月 09 07:31:21.736,76.123,0
2月 09 07:31:21.769,76.432,0
2月 09 07:31:21.802,76.840,0
2月 09 07:31:21.834,76.790,2
2月 09 07:31:21.868,76.783,1
2月 09 07:31:21.901,76.358,1
2月 09 07:31:21.936,76.017,1
2月 09 07:31:21.968,75.723,1
2月 09 07:31:22.002,75.497,1
2月 09 07:31:22.034,75.255,1
2月 09 07:31:22.069,75.082,1
2月 09 07:31:22.102,74.896,1
2月 09 07:31:22.136,74.812,1
2月 09 07:31:22.169,74.791,1
2月 09 07:31:22.202,74.871,3
2月 09 07:31:22.235,75.017,0
2月 09 07:31:22.268,75.196,0
2月 09 07:31:22.301,75.260,0
2月 09 07:31:22.336,75.355,0
2月 09 07:31:22.369,75.386,0
2月 09 07:31:22.403,75.416,0
2月 09 07:31:22.434,75.433,0
2月 09 07:31:22.469,75.470,0
2月 09 07:31:22.501,75.505,0
2月 09 07:31:22.535,75.501,2
2月 09 07:31:22.568,75.530,3
2月 09 07:31:22.601,75.556,0
2月 09 07:31:22.636,75.593,0
2月 09 07:31:22.670,75.571,2
2月 09 07:31:22.701,75.551,1
2月 09 07:31:22.735,75.536,1
2月 09 07:31:22.768,75.586,3
2月 09 07:31:22.802,75.584,2
2月 09 07:31:22.834,75.599,3
2月 09 07:31:22.868,75.610,0
2月 09 07:31:22.901,75.605,2
2月 09 07:31:22.935,75.626,3
2月 09 07:31:22.968,75.633,0
2月 09 07:31:23.001,75.624,2
2月 09 07:31:23.034,75.620,1
2月 09 07:31:23.068,75.694,3
2月 09 07:31:23.101,75.685,2
2月 09 07:31:23.134,75.697,3
2月 09 07:31:23.167,75.666,2
2月 09 07:31:23.201,75.698,3
2月 09 07:31:23.235,75.649,2
2月 09 07:31:23.270,75.726,3
2月 09 07:31:23.301,75.766,0
2月 09 07:31:23.335,75.738,2
2月 09 07:31:23.368,75.784,3
2月 09 07:31:23.401,75.732,2
2月 09 07:31:23.434,75.717,1
2月 09 07:31:23.469,75.717,3
2月 09 07:31:23.502,75.720,0
2月 09 07:31:23.534,75.745,0
2月 09 07:31:23.568,75.743,2
2月 09 07:31:23.603,75.775,3
2月 09 07:31:23.637,75.747,2
2月 09 07:31:23.668,75.772,3
2月 09 07:31:23.702,75.787,0
2月 09 07:31:23.734,75.807,0
2月 09 07:31:23.768,75.820,0
2月 09 07:31:23.801,75.842,0
2月 09 07:31:23.834,75.821,2
2月 09 07:31:23.869,75.856,3
2月 09 07:31:23.901,75.904,0
2月 09 07:31:23.933,75.883,2
2月 09 07:31:23.968,75.852,1
2月 09 07:31:24.000,75.831,1
2月 09 07:31:24.035,75.791,1
2月 09 07:31:24.068,75.768,1
2月 09 07:31:24.102,75.733,1
2月 09 07:31:24.136,75.728,1
2月 09 07:31:24.169,75.742,3
2月 09 07:31:24.202,75.779,0
2月 09 07:31:24.234,75.789,0
2月 09 07:31:24.268,75.816,0
2月 09 07:31:24.301,75.865,0
2月 09 07:31:24.334,75.823,2
2月 09 07:31:24.367,75.852,3
2月 09 07:31:24.401,75.868,0
2月 09 07:31:24.433,75.880,0
2月 09 07:31:24.468,75.929,0
2月 09 07:31:24.501,75.929,0
2月 09 07:31:24.534,75.960,0
2月 09 07:31:24.568,75.941,2
2月 09 07:31:24.601,75.993,3
2月 09 07:31:24.636,75.967,2
2月 09 07:31:24.669,76.001,3
2月 09 07:31:24.700,75.968,2
2月 09 07:31:24.734,75.954,1
2月 09 07:31:24.768,75.933,1
2月 09 07:31:24.802,75.930,1
2月 09 07:31:24.834,75.916,1
2月 09 07:31:24.868,75.936,3
2月 09 07:31:24.900,75.910,2
2月 09 07:31:24.934,75.911,3
2月 09 07:31:24.968,75.940,0
2月 09 07:31:25.000,75.943,0
2月 09 07:31:25.034,75.881,2
2月 09 07:31:25.067,75.956,3
2月 09 07:31:25.101,75.950,2
2月 09 07:31:25.134,75.978,3
2月 09 07:31:25.168,75.976,2
2月 09 07:31:25.201,75.991,3
2月 09 07:31:25.233,75.867,2
2月 09 07:31:25.267,75.921,3
2月 09 07:31:25.301,75.970,0
2月 09 07:31:25.335,75.891,2
2月 09 07:31:25.368,75.939,3
2月 09 07:31:25.401,75.979,0
2月 09 07:31:25.434,76.049,0
2月 09 07:31:25.467,76.085,0
2月 09 07:31:25.500,76.268,0
2月 09 07:31:25.533,76.255,2
2月 09 07:31:25.568,76.335,3
2月 09 07:31:25.601,76.445,0
2月 09 07:31:25.634,76.656,0
2月 09 07:31:25.667,76.724,0
2月 09 07:31:25.701,76.883,0
2月 09 07:31:25.734,77.073,0
2月 09 07:31:25.768,77.257,0
2月 09 07:31:25.802,77.512,0
2月 09 07:31:25.834,77.586,0
2月 09 07:31:25.868,77.566,2
2月 09 07:31:25.900,77.614,3
2月 09 07:31:25.935,77.571,2
2月 09 07:31:25.968,77.518,1
2月 09 07:31:26.002,77.426,1
2月 09 07:31:26.036,77.532,3
2月 09 07:31:26.069,77.532,0
2月 09 07:31:26.102,77.525,2
2月 09 07:31:26.137,77.640,3
2月 09 07:31:26.169,77.794,0
2月 09 07:31:26.201,77.725,2
2月 09 07:31:26.235,77.612,1
2月 09 07:31:26.269,77.561,1
2月 09 07:31:26.301,77.484,1
2月 09 07:31:26.337,77.416,1
2月 09 07:31:26.368,77.312,1
2月 09 07:31:26.402,77.326,3
2月 09 07:31:26.435,77.225,2
2月 09 07:31:26.469,77.026,1
2月 09 07:31:26.502,77.050,3
2月 09 07:31:26.536,77.056,0
2月 09 07:31:26.569,76.928,2
2月 09 07:31:26.603,76.875,1
2月 09 07:31:26.637,76.906,3
2月 09 07:31:26.669,76.921,0
2月 09 07:31:26.701,76.956,0
2月 09 07:31:26.735,76.910,2
2月 09 07:31:26.769,76.899,1
2月 09 07:31:26.801,76.973,3
2月 09 07:31:26.835,76.999,0
2月 09 07:31:26.870,76.911,2
2月 09 07:31:26.901,76.822,1
2月 09 07:31:26.934,76.777,1
2月 09 07:31:26.969,76.811,3
2月 09 07:31:27.001,76.801,2
2月 09 07:31:27.035,76.733,1
2月 09 07:31:27.069,76.730,1
2月 09 07:31:27.101,76.704,1
2月 09 07:31:27.134,76.761,3
2月 09 07:31:27.168,76.717,2
2月 09 07:31:27.202,76.751,3
2月 09 07:31:27.237,76.752,0
2月 09 07:31:27.269,76.723,2
2月 09 07:31:27.301,76.695,1
2月 09 07:31:27.336,76.718,3
2月 09 07:31:27.370,76.654,2
2月 09 07:31:27.401,76.773,3
2月 09 07:31:27.434,76.890,0
2月 09 07:31:27.468,76.867,2
2月 09 07:31:27.501,76.840,1
2月 09 07:31:27.534,76.857,3
2月 09 07:31:27.568,76.809,2
2月 09 07:31:27.600,76.774,1
2月 09 07:31:27.634,76.747,1
2月 09 07:31:27.667,76.717,1
2月 09 07:31:27.701,76.671,1
2月 09 07:31:27.734,76.640,1
2月 09 07:31:27.767,76.677,3
2月 09 07:31:27.801,76.589,2
2月 09 07:31:27.835,76.629,3
2月 09 07:31:27.868,76.615,2
2月 09 07:31:27.902,76.629,3
2月 09 07:31:27.935,76.703,0
2月 09 07:31:27.969,76.739,0
2月 09 07:31:28.003,76.870,0
2月 09 07:31:28.036,76.829,2
2月 09 07:31:28.069,76.815,1
2月 09 07:31:28.102,76.873,3
2月 09 07:31:28.136,76.861,2
2月 09 07:31:28.168,76.824,1
2月 09 07:31:28.203,76.821,1
2月 09 07:31:28.235,76.803,1
2月 09 07:31:28.269,76.803,3
2月 09 07:31:28.302,76.824,0
2月 09 07:31:28.335,76.784,2
2月 09 07:31:28.369,76.810,3
2月 09 07:31:28.402,76.764,2
2月 09 07:31:28.436,76.776,3
2月 09 07:31:28.469,76.658,2
2月 09 07:31:28.501,76.727,3
2月 09 07:31:28.536,76.737,0
2月 09 07:31:28.568,76.796,0
2月 09 07:31:28.602,76.855,0
2月 09 07:31:28.637,76.803,2
2月 09 07:31:28.668,76.797,1
2月 09 07:31:28.702,76.842,3
2月 09 07:31:28.735,76.830,2
2月 09 07:31:28.768,76.793,1
2月 09 07:31:28.801,76.799,3
2月 09 07:31:28.834,76.808,0
2月 09 07:31:28.867,76.801,2
2月 09 07:31:28.901,76.795,1
2月 09 07:31:28.935,76.748,1
2月 09 07:31:28.968,76.673,1
2月 09 07:31:29.003,76.715,3
2月 09 07:31:29.036,76.632,2
2月 09 07:31:29.068,76.615,1
2月 09 07:31:29.102,76.620,3
2月 09 07:31:29.135,76.586,2
2月 09 07:31:29.169,76.592,3
2月 09 07:31:29.201,76.594,0
2月 09 07:31:29.236,76.591,2
2月 09 07:31:29.269,76.604,3
2月 09 07:31:29.301,76.633,0
2月 09 07:31:29.334,76.640,0
2月 09 07:31:29.367,76.621,2
2月 09 07:31:29.400,76.662,3
2月 09 07:31:29.434,76.675,0
2月 09 07:31:29.468,76.715,0
2月 09 07:31:29.501,76.721,0
2月 09 07:31:29.534,76.801,0
2月 09 07:31:29.567,76.774,2
2月 09 07:31:29.601,76.821,3
2月 09 07:31:29.636,76.857,0
2月 09 07:31:29.667,76.816,2
2月 09 07:31:29.700,76.830,3
2月 09 07:31:29.735,76.831,0
2月 09 07:31:29.768,76.823,2
2月 09 07:31:29.800,76.811,1
2月 09 07:31:29.836,76.854,3
2月 09 07:31:29.868,76.837,2
2月 09 07:31:29.901,76.868,3
2月 09 07:31:29.934,76.847,2
2月 09 07:31:29.967,76.822,1
2月 09 07:31:30.002,76.827,3
2月 09 07:31:30.034,76.817,2
2月 09 07:31:30.067,76.832,3
2月 09 07:31:30.100,76.839,0
2月 09 07:31:30.135,76.864,0
2月 09 07:31:30.167,76.859,2
2月 09 07:31:30.201,76.834,1
2月 09 07:31:30.234,76.813,1
2月 09 07:31:30.268,76.808,1
2月 09 07:31:30.300,76.787,1
2月 09 07:31:30.336,76.678,1
2月 09 07:31:30.368,76.797,3
2月 09 07:31:30.403,76.799,0
2月 09 07:31:30.434,76.775,2
2月 09 07:31:30.467,76.625,1
2月 09 07:31:30.501,76.669,3
2月 09 07:31:30.536,76.702,0
2月 09 07:31:30.568,76.718,0
2月 09 07:31:30.602,76.721,0
2月 09 07:31:30.637,76.799,0
2月 09 07:31:30.669,76.769,2
2月 09 07:31:30.703,76.794,3
2月 09 07:31:30.737,76.839,0
2月 09 07:31:30.768,76.846,0
2月 09 07:31:30.801,76.807,2
2月 09 07:31:30.836,76.789,1
2月 09 07:31:30.869,76.670,1
2月 09 07:31:30.902,76.704,3
2月 09 07:31:30.935,76.653,2
2月 09 07:31:30.968,76.659,3
2月 09 07:31:31.002,76.611,2
2月 09 07:31:31.034,76.618,3
2月 09 07:31:31.069,76.612,2
2月 09 07:31:31.101,76.605,1
2月 09 07:31:31.135,76.637,3
2月 09 07:31:31.169,76.589,2
2月 09 07:31:31.202,76.615,3
2月 09 07:31:31.236,76.650,0
2月 09 07:31:31.269,76.661,0
2月 09 07:31:31.301,76.677,0
2月 09 07:31:31.335,76.719,0
2月 09 07:31:31.369,76.714,2
2月 09 07:31:31.402,76.760,3
2月 09 07:31:31.437,76.696,2
2月 09 07:31:31.470,76.748,3
2月 09 07:31:31.501,76.705,2
2月 09 07:31:31.536,76.655,1
2月 09 07:31:31.569,76.579,1
2月 09 07:31:31.602,76.557,1
2月 09 07:31:31.636,76.485,1
2月 09 07:31:31.669,76.473,1
2月 09 07:31:31.702,76.442,1
2月 09 07:31:31.736,76.463,3
2月 09 07:31:31.769,76.516,0
2月 09 07:31:31.801,76.562,0
2月 09 07:31:31.836,76.574,0
2月 09 07:31:31.868,76.630,0
2月 09 07:31:31.902,76.636,0
2月 09 07:31:31.937,76.671,0
2月 09 07:31:31.968,76.644,2
2月 09 07:31:32.002,76.673,3
2月 09 07:31:32.036,76.693,0
2月 09 07:31:32.068,76.639,2
2月 09 07:31:32.102,76.615,1
2月 09 07:31:32.136,76.564,1
2月 09 07:31:32.168,76.509,1
2月 09 07:31:32.202,76.481,1
2月 09 07:31:32.236,76.435,1
2月 09 07:31:32.269,76.468,3
2月 09 07:31:32.302,76.462,2
2月 09 07:31:32.335,76.459,1
2月 09 07:31:32.370,76.483,3
2月 09 07:31:32.402,76.468,2
2月 09 07:31:32.436,76.533,3
2月 09 07:31:32.468,76.612,0
2月 09 07:31:32.502,76.747,0
2月 09 07:31:32.536,76.830,0
2月 09 07:31:32.568,76.993,0
2月 09 07:31:32.602,77.000,0
2月 09 07:31:32.637,77.004,0
2月 09 07:31:32.668,76.958,2
2月 09 07:31:32.702,76.980,3
2月 09 07:31:32.736,76.983,0
2月 09 07:31:32.768,76.989,0
2月 09 07:31:32.803,76.957,2
2月 09 07:31:32.835,76.937,1
2月 09 07:31:32.868,76.911,1
2月 09 07:31:32.902,76.864,1
2月 09 07:31:32.935,76.809,1
2月 09 07:31:32.968,76.830,3
2月 09 07:31:33.003,76.818,2
2月 09 07:31:33.035,76.805,1
2月 09 07:31:33.069,76.818,3
2月 09 07:31:33.102,76.837,0
2月 09 07:31:33.135,76.874,0
2月 09 07:31:33.169,76.900,0
2月 09 07:31:33.202,76.917,0
2月 09 07:31:33.235,76.926,0
2月 09 07:31:33.269,76.933,0
2月 09 07:31:33.302,76.983,0
2月 09 07:31:33.336,77.117,0
2月 09 07:31:33.369,77.150,0
2月 09 07:31:33.402,77.070,2
2月 09 07:31:33.435,77.121,3
2月 09 07:31:33.470,77.140,0
2月 09 07:31:33.502,77.148,0
2月 09 07:31:33.535,77.093,2
2月 09 07:31:33.568,77.090,1
2月 09 07:31:33.602,77.094,3
2月 09 07:31:33.636,77.091,2
2月 09 07:31:33.670,77.071,1
2月 09 07:31:33.703,77.050,1
2月 09 07:31:33.736,77.036,1
2月 09 07:31:33.768,77.067,3
2月 09 07:31:33.803,77.051,2
2月 09 07:31:33.835,77.056,3
2月 09 07:31:33.869,77.088,0
2月 09 07:31:33.902,77.081,2
2月 09 07:31:33.935,77.104,3
2月 09 07:31:33.969,77.141,0
2月 09 07:31:34.002,77.155,0
2月 09 07:31:34.035,77.171,0
2月 09 07:31:34.069,77.197,0
2月 09 07:31:34.101,77.169,2
2月 09 07:31:34.135,77.149,1
2月 09 07:31:34.169,77.133,1
2月 09 07:31:34.202,77.152,3
2月 09 07:31:34.235,77.106,2
2月 09 07:31:34.269,77.157,3
2月 09 07:31:34.302,77.120,2
2月 09 07:31:34.336,77.079,1
2月 09 07:31:34.367,77.077,1
2月 09 07:31:34.401,77.074,1
2月 09 07:31:34.435,77.056,1
2月 09 07:31:34.469,77.129,3
2月 09 07:31:34.502,77.187,0
2月 09 07:31:34.535,77.134,2
2月 09 07:31:34.568,77.110,1
2月 09 07:31:34.602,77.090,1
2月 09 07:31:34.636,77.110,3
2月 09 07:31:34.669,77.110,2
2月 09 07:31:34.701,77.120,3
2月 09 07:31:34.735,77.097,2
2月 09 07:31:34.768,77.078,1
2月 09 07:31:34.803,77.075,1
2月 09 07:31:34.835,77.038,1
2月 09 07:31:34.868,77.050,3
2月 09 07:31:34.902,77.059,0
2月 09 07:31:34.935,77.033,2
2月 09 07:31:34.969,77.038,3
2月 09 07:31:35.002,77.044,0
2月 09 07:31:35.036,77.027,2
2月 09 07:31:35.069,77.102,3
2月 09 07:31:35.102,76.990,2
2月 09 07:31:35.135,77.002,3
2月 09 07:31:35.167,77.092,0
2月 09 07:31:35.202,77.174,0
2月 09 07:31:35.235,77.207,0
2月 09 07:31:35.269,77.190,2
2月 09 07:31:35.302,77.237,3
2月 09 07:31:35.336,77.196,2
2月 09 07:31:35.369,77.247,3
2月 09 07:31:35.402,77.251,0
2月 09 07:31:35.436,77.193,2
2月 09 07:31:35.469,77.057,1
2月 09 07:31:35.502,77.073,3
2月 09 07:31:35.536,77.145,0
2月 09 07:31:35.568,77.142,2
2月 09 07:31:35.603,77.149,3
2月 09 07:31:35.637,77.177,0
2月 09 07:31:35.669,77.160,2
2月 09 07:31:35.702,77.130,1
2月 09 07:31:35.735,77.179,3
2月 09 07:31:35.768,77.201,0
2月 09 07:31:35.802,77.235,0
2月 09 07:31:35.835,77.230,2
2月 09 07:31:35.869,77.236,3
2月 09 07:31:35.902,77.231,2
2月 09 07:31:35.936,77.180,1
2月 09 07:31:35.968,77.201,3
2月 09 07:31:36.002,77.230,0
2月 09 07:31:36.037,77.214,2
2月 09 07:31:36.068,77.226,3
2月 09 07:31:36.102,77.195,2
2月 09 07:31:36.135,70.372,1
2月 09 07:31:36.169,70.560,3
2月 09 07:31:36.202,70.779,0
2月 09 07:31:36.235,70.897,0
2月 09 07:31:36.269,71.076,0
2月 09 07:31:36.302,71.241,0
2月 09 07:31:36.336,71.357,0
2月 09 07:31:36.369,71.567,0
2月 09 07:31:36.402,71.697,0
2月 09 07:31:36.435,71.772,0
2月 09 07:31:36.470,71.860,0
2月 09 07:31:36.502,71.946,0
2月 09 07:31:36.535,71.994,0
2月 09 07:31:36.568,72.011,0
2月 09 07:31:36.602,72.036,0
2月 09 07:31:36.636,72.070,0
2月 09 07:31:36.669,72.075,0
2月 09 07:31:36.701,72.151,0
2月 09 07:31:36.736,72.215,0
2月 09 07:31:36.768,72.294,0
2月 09 07:31:36.802,72.227,2
2月 09 07:31:36.835,72.283,3
2月 09 07:31:36.870,72.276,2
2月 09 07:31:36.902,72.275,1
2月 09 07:31:36.936,72.272,1
2月 09 07:31:36.968,72.333,3
2月 09 07:31:37.002,72.403,0
2月 09 07:31:37.036,72.415,0
2月 09 07:31:37.069,72.428,0
2月 09 07:31:37.102,72.397,2
2月 09 07:31:37.136,72.398,3
2月 09 07:31:37.168,72.372,2
2月 09 07:31:37.202,72.338,1
2月 09 07:31:37.235,72.399,3
2月 09 07:31:37.269,72.354,2
2月 09 07:31:37.302,72.327,1
2月 09 07:31:37.336,72.382,3
2月 09 07:31:37.369,72.392,0
2月 09 07:31:37.402,72.273,2
2月 09 07:31:37.435,72.290,3
2月 09 07:31:37.468,72.278,2
2月 09 07:31:37.501,72.318,3
2月 09 07:31:37.536,72.344,0
2月 09 07:31:37.569,72.378,0
2月 09 07:31:37.603,72.373,2
2月 09 07:31:37.636,72.390,3
2月 09 07:31:37.669,72.362,2
2月 09 07:31:37.701,72.329,1
2月 09 07:31:37.735,72.332,3
2月 09 07:31:37.768,72.288,2
