Time,Camera,State
2月 09 07:51:17.739,69.314,0
2月 09 07:51:17.804,98.644,0
2月 09 07:51:17.864,101.262,0
2月 09 07:51:17.924,97.198,2
2月 09 07:51:17.982,94.293,1
2月 09 07:51:18.042,93.446,1
2月 09 07:51:18.105,91.954,1
2月 09 07:51:18.165,91.374,1
2月 09 07:51:18.224,90.733,1
2月 09 07:51:18.282,90.175,1
2月 09 07:51:18.342,89.883,1
2月 09 07:51:18.401,89.085,1
2月 09 07:51:18.460,88.380,1
2月 09 07:51:18.519,87.639,1
2月 09 07:51:18.579,87.200,1
2月 09 07:51:18.641,86.810,1
2月 09 07:51:18.704,86.795,1
2月 09 07:51:18.765,86.955,3
2月 09 07:51:18.825,87.041,0
2月 09 07:51:18.885,87.061,0
2月 09 07:51:18.944,87.048,2
2月 09 07:51:19.003,86.897,1
2月 09 07:51:19.062,86.138,1
2月 09 07:51:19.120,85.984,1
2月 09 07:51:19.179,86.084,3
2月 09 07:51:19.240,86.111,0
2月 09 07:51:19.299,86.261,0
2月 09 07:51:19.358,86.340,0
2月 09 07:51:19.418,86.256,2
2月 09 07:51:19.476,86.323,3
2月 09 07:51:19.536,86.452,0
2月 09 07:51:19.594,86.488,0
2月 09 07:51:19.653,86.531,0
2月 09 07:51:19.714,86.588,0
2月 09 07:51:19.774,86.737,0
2月 09 07:51:19.832,86.750,0
2月 09 07:51:19.890,88.086,0
2月 09 07:51:19.949,88.368,0
2月 09 07:51:20.008,88.190,2
2月 09 07:51:20.067,87.513,1
2月 09 07:51:20.127,87.481,1
2月 09 07:51:20.185,87.598,3
2月 09 07:51:20.247,87.679,0
2月 09 07:51:20.306,87.871,0
2月 09 07:51:20.364,87.816,2
2月 09 07:51:20.421,87.872,3
2月 09 07:51:20.480,88.053,0
2月 09 07:51:20.542,88.141,0
2月 09 07:51:20.599,88.200,0
2月 09 07:51:20.661,88.361,0
2月 09 07:51:20.721,88.596,0
2月 09 07:51:20.781,88.817,0
2月 09 07:51:20.848,88.878,0
2月 09 07:51:20.906,88.940,0
2月 09 07:51:20.963,88.711,2
2月 09 07:51:21.022,87.723,1
2月 09 07:51:21.082,87.726,3
2月 09 07:51:21.140,87.830,0
2月 09 07:51:21.200,88.071,0
2月 09 07:51:21.260,88.154,0
2月 09 07:51:21.318,87.970,2
2月 09 07:51:21.377,88.030,3
2月 09 07:51:21.436,88.029,2
2月 09 07:51:21.496,88.038,3
2月 09 07:51:21.556,88.090,0
2月 09 07:51:21.618,88.026,2
2月 09 07:51:21.676,88.075,3
2月 09 07:51:21.736,88.087,0
2月 09 07:51:21.794,88.018,2
2月 09 07:51:21.855,87.306,1
2月 09 07:51:21.914,85.688,1
2月 09 07:51:21.973,85.462,1
2月 09 07:51:22.031,85.886,3
2月 09 07:51:22.091,86.063,0
2月 09 07:51:22.149,86.111,0
2月 09 07:51:22.207,85.989,2
2月 09 07:51:22.267,85.681,1
2月 09 07:51:22.325,85.581,1
2月 09 07:51:22.384,85.651,3
2月 09 07:51:22.443,85.662,0
2月 09 07:51:22.503,85.821,0
2月 09 07:51:22.564,85.895,0
2月 09 07:51:22.622,86.012,0
2月 09 07:51:22.680,86.162,0
2月 09 07:51:22.739,86.153,2
2月 09 07:51:22.797,84.694,1
2月 09 07:51:22.857,82.778,1
2月 09 07:51:22.916,82.637,1
2月 09 07:51:22.975,82.650,3
2月 09 07:51:23.033,82.772,0
2月 09 07:51:23.095,82.739,2
2月 09 07:51:23.154,82.393,1
2月 09 07:51:23.214,82.430,3
2月 09 07:51:23.274,82.494,0
2月 09 07:51:23.332,82.629,0
2月 09 07:51:23.391,82.840,0
2月 09 07:51:23.449,83.057,0
2月 09 07:51:23.511,83.121,0
2月 09 07:51:23.572,83.261,0
2月 09 07:51:23.634,83.488,0
2月 09 07:51:23.697,83.668,0
2月 09 07:51:23.755,81.965,2
2月 09 07:51:23.814,79.895,1
2月 09 07:51:23.874,79.801,1
2月 09 07:51:23.941,81.738,3
2月 09 07:51:24.000,82.045,0
2月 09 07:51:24.061,82.273,0
2月 09 07:51:24.121,82.141,2
2月 09 07:51:24.179,82.244,3
2月 09 07:51:24.239,82.405,0
2月 09 07:51:24.298,82.714,0
2月 09 07:51:24.356,82.943,0
2月 09 07:51:24.416,83.261,0
2月 09 07:51:24.477,83.398,0
2月 09 07:51:24.536,83.708,0
2月 09 07:51:24.594,83.986,0
2月 09 07:51:24.653,84.258,0
2月 09 07:51:24.713,84.334,0
2月 09 07:51:24.772,83.712,2
2月 09 07:51:24.831,81.172,1
2月 09 07:51:24.890,80.790,1
2月 09 07:51:24.950,81.183,3
2月 09 07:51:25.011,81.411,0
2月 09 07:51:25.069,81.806,0
2月 09 07:51:25.127,81.663,2
2月 09 07:51:25.187,81.683,3
2月 09 07:51:25.247,81.975,0
2月 09 07:51:25.307,82.101,0
2月 09 07:51:25.370,82.410,0
2月 09 07:51:25.429,82.820,0
2月 09 07:51:25.489,83.125,0
2月 09 07:51:25.548,83.376,0
2月 09 07:51:25.606,83.501,0
2月 09 07:51:25.667,83.671,0
2月 09 07:51:25.727,83.491,2
2月 09 07:51:25.786,81.213,1
2月 09 07:51:25.845,80.795,1
2月 09 07:51:25.904,82.406,3
2月 09 07:51:25.964,82.851,0
2月 09 07:51:26.023,83.200,0
2月 09 07:51:26.083,83.023,2
2月 09 07:51:26.141,82.993,1
2月 09 07:51:26.202,83.188,3
2月 09 07:51:26.262,83.490,0
2月 09 07:51:26.321,83.805,0
2月 09 07:51:26.380,84.177,0
2月 09 07:51:26.440,84.299,0
2月 09 07:51:26.499,84.540,0
2月 09 07:51:26.562,84.855,0
2月 09 07:51:26.620,85.098,0
2月 09 07:51:26.681,83.922,2
2月 09 07:51:26.740,82.578,1
2月 09 07:51:26.801,81.633,1
2月 09 07:51:26.861,81.814,3
2月 09 07:51:26.921,82.147,0
2月 09 07:51:26.982,82.359,0
2月 09 07:51:27.048,82.175,2
2月 09 07:51:27.107,82.137,1
2月 09 07:51:27.166,82.410,3
2月 09 07:51:27.225,82.787,0
2月 09 07:51:27.284,83.138,0
2月 09 07:51:27.342,83.298,0
2月 09 07:51:27.402,83.579,0
2月 09 07:51:27.470,83.827,0
2月 09 07:51:27.536,84.063,0
2月 09 07:51:27.595,84.347,0
2月 09 07:51:27.655,82.725,2
2月 09 07:51:27.715,80.928,1
2月 09 07:51:27.775,80.938,3
2月 09 07:51:27.833,81.116,0
2月 09 07:51:27.894,81.515,0
2月 09 07:51:27.953,81.877,0
2月 09 07:51:28.012,81.743,2
2月 09 07:51:28.071,81.704,1
2月 09 07:51:28.130,81.967,3
2月 09 07:51:28.189,82.339,0
2月 09 07:51:28.249,82.625,0
2月 09 07:51:28.308,82.778,0
2月 09 07:51:28.369,83.193,0
2月 09 07:51:28.431,83.448,0
2月 09 07:51:28.489,83.613,0
2月 09 07:51:28.548,83.860,0
2月 09 07:51:28.609,83.923,0
2月 09 07:51:28.675,82.126,2
2月 09 07:51:28.737,80.449,1
2月 09 07:51:28.798,80.734,3
2月 09 07:51:28.858,81.144,0
2月 09 07:51:28.918,81.664,0
2月 09 07:51:28.977,81.665,0
2月 09 07:51:29.037,81.517,2
2月 09 07:51:29.098,81.801,3
2月 09 07:51:29.157,82.135,0
2月 09 07:51:29.217,82.499,0
2月 09 07:51:29.277,82.686,0
2月 09 07:51:29.336,82.901,0
2月 09 07:51:29.396,83.159,0
2月 09 07:51:29.453,83.391,0
2月 09 07:51:29.514,83.632,0
2月 09 07:51:29.575,83.112,2
2月 09 07:51:29.636,80.619,1
2月 09 07:51:29.696,80.232,1
2月 09 07:51:29.755,80.727,3
2月 09 07:51:29.816,81.296,0
2月 09 07:51:29.878,81.493,0
2月 09 07:51:29.938,81.349,2
2月 09 07:51:29.999,81.495,3
2月 09 07:51:30.058,81.831,0
2月 09 07:51:30.123,82.174,0
2月 09 07:51:30.183,82.556,0
2月 09 07:51:30.241,82.640,0
2月 09 07:51:30.300,82.898,0
2月 09 07:51:30.361,83.135,0
2月 09 07:51:30.420,83.465,0
2月 09 07:51:30.479,82.149,2
2月 09 07:51:30.540,80.283,1
2月 09 07:51:30.598,79.353,1
2月 09 07:51:30.659,79.998,3
2月 09 07:51:30.722,80.456,0
2月 09 07:51:30.780,80.814,0
2月 09 07:51:30.838,80.873,0
2月 09 07:51:30.899,80.960,0
2月 09 07:51:30.957,81.314,0
2月 09 07:51:31.016,81.839,0
2月 09 07:51:31.077,82.061,0
2月 09 07:51:31.135,82.420,0
2月 09 07:51:31.195,82.730,0
2月 09 07:51:31.254,82.967,0
2月 09 07:51:31.313,83.197,0
2月 09 07:51:31.372,83.336,0
2月 09 07:51:31.433,83.611,0
2月 09 07:51:31.493,82.126,2
2月 09 07:51:31.552,80.571,1
2月 09 07:51:31.612,80.665,3
2月 09 07:51:31.673,80.883,0
2月 09 07:51:31.733,81.374,0
2月 09 07:51:31.795,81.723,0
2月 09 07:51:31.855,81.719,2
2月 09 07:51:31.914,81.945,3
2月 09 07:51:31.973,82.116,0
2月 09 07:51:32.033,82.492,0
2月 09 07:51:32.094,82.727,0
2月 09 07:51:32.152,83.069,0
2月 09 07:51:32.213,83.081,0
2月 09 07:51:32.274,83.306,0
2月 09 07:51:32.334,83.571,0
2月 09 07:51:32.395,83.832,0
2月 09 07:51:32.454,84.107,0
2月 09 07:51:32.515,82.962,2
2月 09 07:51:32.575,81.497,1
2月 09 07:51:32.636,80.782,1
2月 09 07:51:32.696,81.290,3
2月 09 07:51:32.754,81.839,0
2月 09 07:51:32.816,82.129,0
2月 09 07:51:32.876,82.038,2
2月 09 07:51:32.937,82.033,1
2月 09 07:51:32.996,82.462,3
2月 09 07:51:33.056,82.745,0
2月 09 07:51:33.118,83.073,0
2月 09 07:51:33.177,83.174,0
2月 09 07:51:33.243,83.462,0
2月 09 07:51:33.304,83.688,0
2月 09 07:51:33.364,83.907,0
2月 09 07:51:33.425,84.121,0
2月 09 07:51:33.484,84.389,0
2月 09 07:51:33.544,84.192,2
2月 09 07:51:33.604,81.704,1
2月 09 07:51:33.666,81.190,1
2月 09 07:51:33.729,81.645,3
2月 09 07:51:33.784,81.979,0
2月 09 07:51:33.840,82.238,0
2月 09 07:51:33.897,82.246,0
2月 09 07:51:33.953,82.263,0
2月 09 07:51:34.009,82.573,0
2月 09 07:51:34.065,82.796,0
2月 09 07:51:34.120,83.189,0
2月 09 07:51:34.177,83.464,0
2月 09 07:51:34.232,83.675,0
2月 09 07:51:34.287,83.938,0
2月 09 07:51:34.343,84.133,0
2月 09 07:51:34.402,84.365,0
2月 09 07:51:34.456,84.622,0
2月 09 07:51:34.514,84.959,0
2月 09 07:51:34.570,85.070,0
2月 09 07:51:34.626,85.284,0
2月 09 07:51:34.683,83.240,2
2月 09 07:51:34.740,82.336,1
2月 09 07:51:34.797,82.268,1
2月 09 07:51:34.854,82.512,3
2月 09 07:51:34.912,82.832,0
2月 09 07:51:34.968,83.009,0
2月 09 07:51:35.024,82.949,2
2月 09 07:51:35.080,83.030,3
2月 09 07:51:35.137,83.187,0
2月 09 07:51:35.194,83.606,0
2月 09 07:51:35.249,83.880,0
2月 09 07:51:35.306,84.034,0
2月 09 07:51:35.363,84.375,0
2月 09 07:51:35.421,84.550,0
2月 09 07:51:35.477,84.825,0
2月 09 07:51:35.533,84.901,0
2月 09 07:51:35.589,85.200,0
2月 09 07:51:35.645,85.412,0
2月 09 07:51:35.701,85.598,0
2月 09 07:51:35.757,84.579,2
2月 09 07:51:35.815,82.744,1
2月 09 07:51:35.872,82.687,1
2月 09 07:51:35.929,83.022,3
2月 09 07:51:35.984,83.400,0
2月 09 07:51:36.040,83.612,0
2月 09 07:51:36.097,83.561,2
2月 09 07:51:36.154,83.500,1
2月 09 07:51:36.211,83.818,3
2月 09 07:51:36.267,83.999,0
2月 09 07:51:36.331,84.359,0
2月 09 07:51:36.388,84.636,0
2月 09 07:51:36.443,84.891,0
2月 09 07:51:36.499,85.055,0
2月 09 07:51:36.555,85.221,0
2月 09 07:51:36.613,85.459,0
2月 09 07:51:36.670,85.565,0
2月 09 07:51:36.725,85.879,0
2月 09 07:51:36.782,86.060,0
2月 09 07:51:36.838,85.455,2
2月 09 07:51:36.896,83.120,1
2月 09 07:51:36.951,82.960,1
2月 09 07:51:37.007,83.102,3
2月 09 07:51:37.065,83.351,0
2月 09 07:51:37.121,83.670,0
2月 09 07:51:37.178,83.648,2
2月 09 07:51:37.233,83.645,1
2月 09 07:51:37.290,83.770,3
2月 09 07:51:37.346,84.189,0
2月 09 07:51:37.404,84.362,0
2月 09 07:51:37.462,84.629,0
2月 09 07:51:37.519,84.973,0
2月 09 07:51:37.577,85.103,0
2月 09 07:51:37.633,85.419,0
2月 09 07:51:37.689,85.695,0
2月 09 07:51:37.746,85.983,0
2月 09 07:51:37.805,86.185,0
2月 09 07:51:37.861,86.399,0
2月 09 07:51:37.918,86.512,0
2月 09 07:51:37.976,85.664,2
2月 09 07:51:38.034,83.356,1
2月 09 07:51:38.089,83.270,1
2月 09 07:51:38.146,83.556,3
2月 09 07:51:38.203,83.683,0
2月 09 07:51:38.260,84.048,0
2月 09 07:51:38.317,83.874,2
2月 09 07:51:38.375,83.845,1
2月 09 07:51:38.432,84.079,3
2月 09 07:51:38.489,84.378,0
2月 09 07:51:38.545,84.763,0
2月 09 07:51:38.601,84.956,0
2月 09 07:51:38.663,85.243,0
2月 09 07:51:38.717,85.507,0
2月 09 07:51:38.763,85.612,0
2月 09 07:51:38.812,85.992,0
2月 09 07:51:38.857,86.139,0
2月 09 07:51:38.905,86.416,0
2月 09 07:51:38.952,86.482,0
2月 09 07:51:38.999,86.192,2
2月 09 07:51:39.045,83.776,1
2月 09 07:51:39.090,83.410,1
2月 09 07:51:39.137,83.564,3
2月 09 07:51:39.185,83.670,0
2月 09 07:51:39.233,83.907,0
2月 09 07:51:39.281,84.306,0
2月 09 07:51:39.329,84.260,2
2月 09 07:51:39.378,84.020,1
2月 09 07:51:39.432,84.090,3
2月 09 07:51:39.479,84.418,0
2月 09 07:51:39.531,84.607,0
2月 09 07:51:39.580,84.870,0
2月 09 07:51:39.626,85.052,0
2月 09 07:51:39.673,85.389,0
2月 09 07:51:39.720,85.524,0
2月 09 07:51:39.767,85.694,0
2月 09 07:51:39.814,86.004,0
2月 09 07:51:39.861,86.151,0
2月 09 07:51:39.907,86.388,0
2月 09 07:51:39.953,86.514,0
2月 09 07:51:40.000,85.519,2
2月 09 07:51:40.047,84.060,1
2月 09 07:51:40.095,83.318,1
2月 09 07:51:40.141,83.175,1
2月 09 07:51:40.187,83.261,3
2月 09 07:51:40.234,83.488,0
2月 09 07:51:40.280,83.683,0
2月 09 07:51:40.328,83.770,0
2月 09 07:51:40.373,83.654,2
2月 09 07:51:40.420,83.618,1
2月 09 07:51:40.467,83.845,3
2月 09 07:51:40.513,84.036,0
2月 09 07:51:40.560,84.250,0
2月 09 07:51:40.607,84.581,0
2月 09 07:51:40.655,84.722,0
2月 09 07:51:40.705,84.956,0
2月 09 07:51:40.752,85.148,0
2月 09 07:51:40.800,85.258,0
2月 09 07:51:40.846,85.561,0
2月 09 07:51:40.893,85.695,0
2月 09 07:51:40.940,86.030,0
2月 09 07:51:40.986,86.115,0
2月 09 07:51:41.033,86.322,0
2月 09 07:51:41.079,85.248,2
2月 09 07:51:41.125,83.736,1
2月 09 07:51:41.173,82.816,1
2月 09 07:51:41.219,82.861,3
2月 09 07:51:41.266,83.064,0
2月 09 07:51:41.314,83.180,0
2月 09 07:51:41.361,83.403,0
2月 09 07:51:41.408,83.428,0
2月 09 07:51:41.454,83.393,2
2月 09 07:51:41.501,83.506,3
2月 09 07:51:41.548,83.681,0
2月 09 07:51:41.596,83.855,0
2月 09 07:51:41.643,84.231,0
2月 09 07:51:41.690,84.501,0
2月 09 07:51:41.737,84.874,0
2月 09 07:51:41.784,85.027,0
2月 09 07:51:41.830,85.196,0
2月 09 07:51:41.876,85.544,0
2月 09 07:51:41.923,85.656,0
2月 09 07:51:41.971,85.980,0
2月 09 07:51:42.018,86.193,0
2月 09 07:51:42.065,86.374,0
2月 09 07:51:42.112,85.563,2
2月 09 07:51:42.160,84.121,1
2月 09 07:51:42.207,83.029,1
2月 09 07:51:42.253,82.974,1
2月 09 07:51:42.300,83.270,3
2月 09 07:51:42.347,83.438,0
2月 09 07:51:42.405,83.624,0
2月 09 07:51:42.452,83.576,2
2月 09 07:51:42.507,83.491,1
2月 09 07:51:42.554,83.604,3
2月 09 07:51:42.601,84.026,0
2月 09 07:51:42.647,84.197,0
2月 09 07:51:42.696,84.422,0
2月 09 07:51:42.742,84.814,0
2月 09 07:51:42.788,85.019,0
2月 09 07:51:42.834,85.366,0
2月 09 07:51:42.882,85.525,0
2月 09 07:51:42.929,85.653,0
2月 09 07:51:42.976,85.923,0
2月 09 07:51:43.021,86.064,0
2月 09 07:51:43.069,86.360,0
2月 09 07:51:43.114,86.088,2
2月 09 07:51:43.160,84.808,1
2月 09 07:51:43.206,82.973,1
2月 09 07:51:43.251,82.829,1
2月 09 07:51:43.299,82.920,3
2月 09 07:51:43.345,83.063,0
2月 09 07:51:43.392,83.264,0
2月 09 07:51:43.440,83.494,0
2月 09 07:51:43.488,83.428,2
2月 09 07:51:43.535,83.450,3
2月 09 07:51:43.583,83.617,0
2月 09 07:51:43.632,83.824,0
2月 09 07:51:43.680,84.221,0
2月 09 07:51:43.724,84.495,0
2月 09 07:51:43.768,84.920,0
2月 09 07:51:43.812,85.082,0
2月 09 07:51:43.860,85.244,0
2月 09 07:51:43.904,85.606,0
2月 09 07:51:43.947,85.712,0
2月 09 07:51:43.991,85.870,0
2月 09 07:51:44.035,86.151,0
2月 09 07:51:44.080,86.331,0
2月 09 07:51:44.122,86.440,0
2月 09 07:51:44.166,86.342,2
2月 09 07:51:44.211,85.258,1
2月 09 07:51:44.254,83.725,1
2月 09 07:51:44.299,82.823,1
2月 09 07:51:44.342,82.771,1
2月 09 07:51:44.386,82.781,3
2月 09 07:51:44.430,82.831,0
2月 09 07:51:44.474,83.158,0
2月 09 07:51:44.517,83.233,0
2月 09 07:51:44.562,83.136,2
2月 09 07:51:44.605,83.051,1
2月 09 07:51:44.648,83.167,3
2月 09 07:51:44.693,83.342,0
2月 09 07:51:44.736,83.754,0
2月 09 07:51:44.780,84.045,0
2月 09 07:51:44.824,84.238,0
2月 09 07:51:44.869,84.701,0
2月 09 07:51:44.912,84.895,0
2月 09 07:51:44.955,85.066,0
2月 09 07:51:44.999,85.435,0
2月 09 07:51:45.042,85.575,0
2月 09 07:51:45.088,85.695,0
2月 09 07:51:45.132,85.981,0
2月 09 07:51:45.176,86.096,0
2月 09 07:51:45.218,86.268,0
2月 09 07:51:45.263,86.296,0
2月 09 07:51:45.307,84.454,2
2月 09 07:51:45.350,83.200,1
2月 09 07:51:45.395,82.697,1
2月 09 07:51:45.438,82.573,1
2月 09 07:51:45.481,82.638,3
2月 09 07:51:45.523,82.787,0
2月 09 07:51:45.574,83.179,0
2月 09 07:51:45.615,83.133,2
2月 09 07:51:45.660,82.950,1
2月 09 07:51:45.704,83.046,3
2月 09 07:51:45.748,83.197,0
2月 09 07:51:45.793,83.365,0
2月 09 07:51:45.837,83.738,0
2月 09 07:51:45.879,83.909,0
2月 09 07:51:45.922,84.106,0
2月 09 07:51:45.967,84.489,0
2月 09 07:51:46.010,84.675,0
2月 09 07:51:46.053,84.837,0
2月 09 07:51:46.098,85.056,0
2月 09 07:51:46.140,85.210,0
2月 09 07:51:46.184,85.480,0
2月 09 07:51:46.226,85.531,0
2月 09 07:51:46.270,85.720,0
2月 09 07:51:46.312,85.276,2
2月 09 07:51:46.354,83.828,1
2月 09 07:51:46.399,82.376,1
2月 09 07:51:46.441,82.297,1
2月 09 07:51:46.484,82.411,3
2月 09 07:51:46.527,82.536,0
2月 09 07:51:46.572,82.836,0
2月 09 07:51:46.613,83.014,0
2月 09 07:51:46.657,83.010,2
2月 09 07:51:46.702,82.928,1
2月 09 07:51:46.745,82.986,3
2月 09 07:51:46.790,83.156,0
2月 09 07:51:46.833,83.588,0
2月 09 07:51:46.877,83.816,0
2月 09 07:51:46.920,84.006,0
2月 09 07:51:46.964,84.453,0
2月 09 07:51:47.009,84.687,0
2月 09 07:51:47.051,84.865,0
2月 09 07:51:47.096,85.021,0
2月 09 07:51:47.138,85.350,0
2月 09 07:51:47.183,85.463,0
2月 09 07:51:47.227,85.562,0
2月 09 07:51:47.272,85.835,0
2月 09 07:51:47.314,85.968,0
2月 09 07:51:47.358,86.073,0
2月 09 07:51:47.402,85.391,2
2月 09 07:51:47.446,83.803,1
2月 09 07:51:47.492,82.793,1
2月 09 07:51:47.536,82.376,1
2月 09 07:51:47.579,82.462,3
2月 09 07:51:47.622,82.508,0
2月 09 07:51:47.668,82.816,0
2月 09 07:51:47.712,82.967,0
2月 09 07:51:47.755,82.988,0
2月 09 07:51:47.799,82.917,2
2月 09 07:51:47.841,83.022,3
2月 09 07:51:47.892,83.194,0
2月 09 07:51:47.935,83.700,0
2月 09 07:51:47.978,83.921,0
2月 09 07:51:48.022,84.154,0
2月 09 07:51:48.066,84.628,0
2月 09 07:51:48.108,84.814,0
2月 09 07:51:48.150,84.999,0
2月 09 07:51:48.194,85.137,0
